# Time-averaged data for fix 4
# TimeStep c_1[1] c_1[2] c_1[3] c_1[4]
100 0.0772169 0.112266 0 0.189483
200 0.282946 0.436293 0 0.719238
300 0.615174 0.757955 0 1.37313
400 1.03341 0.973354 0 2.00677
500 1.47726 1.07721 0 2.55447
600 1.92659 1.13291 0 3.0595
700 2.66651 1.26558 0 3.93209
800 3.40763 1.53977 0 4.9474
900 3.98144 1.66432 0 5.64576
1000 4.02044 1.58463 0 5.60507
1100 4.32727 1.44359 0 5.77086
1200 4.4324 1.56444 0 5.99684
1300 4.44326 1.61569 0 6.05895
1400 4.50715 1.67573 0 6.18288
1500 4.82238 1.60632 0 6.4287
1600 4.98279 1.43417 0 6.41696
1700 5.50935 1.52023 0 7.02958
1800 6.298 1.59624 0 7.89424
1900 6.63622 1.71003 0 8.34625
2000 6.79169 1.83277 0 8.62446
2100 7.15625 1.99653 0 9.15278
2200 7.4391 2.35302 0 9.79212
2300 7.65867 2.72303 0 10.3817
2400 8.13448 3.00346 0 11.1379
2500 8.18055 3.84199 0 12.0225
2600 7.82273 4.54516 0 12.3679
2700 7.20075 4.992 0 12.1927
2800 7.00502 5.17195 0 12.177
2900 7.32837 5.22568 0 12.554
3000 7.35089 5.52995 0 12.8808
3100 7.33749 5.87757 0 13.2151
3200 7.69671 6.28506 0 13.9818
3300 7.69176 6.46122 0 14.153
3400 7.82161 6.25894 0 14.0805
3500 7.44896 6.16595 0 13.6149
3600 6.64902 6.16483 0 12.8139
3700 5.88349 6.3806 0 12.2641
3800 5.09319 6.8455 0 11.9387
3900 4.31746 6.4885 0 10.806
4000 4.10533 6.08319 0 10.1885
4100 3.92931 5.73011 0 9.65942
4200 3.21092 5.10672 0 8.31763
4300 2.98548 4.75403 0 7.73951
4400 3.20335 4.39671 0 7.60006
4500 3.58237 4.37133 0 7.9537
4600 3.9384 4.45738 0 8.39579
4700 4.39727 4.8674 0 9.26467
4800 5.00339 5.28704 0 10.2904
4900 4.6426 5.82191 0 10.4645
5000 4.26162 6.41532 0 10.6769
5100 4.32651 6.77797 0 11.1045
5200 4.41948 7.06842 0 11.4879
5300 4.88252 7.26451 0 12.147
5400 5.50358 7.36353 0 12.8671
5500 6.00858 7.4036 0 13.4122
5600 6.35696 7.44761 0 13.8046
5700 5.90321 7.92771 0 13.8309
5800 5.33867 8.02414 0 13.3628
5900 5.04911 8.35085 0 13.4
6000 5.29621 8.4118 0 13.708
6100 5.9498 8.25842 0 14.2082
6200 6.34956 8.55208 0 14.9016
6300 6.5784 8.74178 0 15.3202
6400 5.98504 8.76278 0 14.7478
6500 5.64836 9.82937 0 15.4777
6600 4.96867 10.7404 0 15.7091
6700 4.60748 11.7564 0 16.3638
6800 4.84276 12.2615 0 17.1043
6900 5.27671 12.6241 0 17.9008
7000 5.43842 13.4143 0 18.8527
7100 4.90125 13.5605 0 18.4617
7200 3.97585 14.0744 0 18.0502
7300 3.1196 14.7965 0 17.9161
7400 2.51095 15.2426 0 17.7536
7500 2.76809 15.6758 0 18.4439
7600 3.0926 15.8329 0 18.9256
7700 2.82971 14.6131 0 17.4428
7800 2.77964 12.9085 0 15.6881
7900 2.80424 12.1301 0 14.9343
8000 2.72975 11.7149 0 14.4446
8100 2.57709 11.485 0 14.062
8200 2.58861 12.2438 0 14.8324
8300 2.38616 13.5294 0 15.9155
8400 2.38159 14.8804 0 17.262
8500 2.84656 16.6255 0 19.4721
8600 3.19544 18.542 0 21.7374
8700 3.17544 19.5358 0 22.7113
8800 3.04059 20.0206 0 23.0612
8900 2.64326 20.1461 0 22.7894
9000 1.91366 20.2082 0 22.1218
9100 1.52289 20.7946 0 22.3175
9200 1.43801 20.0202 0 21.4582
9300 1.48083 18.4445 0 19.9253
9400 1.60231 17.3636 0 18.9659
9500 1.53972 16.7582 0 18.2979
9600 1.69459 16.6117 0 18.3063
9700 1.56948 17.1617 0 18.7312
9800 1.47815 16.8198 0 18.298
9900 1.57425 16.0813 0 17.6555
10000 1.92499 15.3329 0 17.2579
10100 2.15006 13.6214 0 15.7715
10200 2.28849 12.6224 0 14.9109
10300 2.48074 12.3492 0 14.83
10400 2.41735 11.7205 0 14.1379
10500 2.29477 11.5195 0 13.8143
10600 2.30732 11.3539 0 13.6612
10700 2.57756 11.5298 0 14.1073
10800 2.62443 11.9539 0 14.5784
10900 2.69266 12.2669 0 14.9596
11000 2.39166 11.9026 0 14.2942
11100 2.03237 11.214 0 13.2464
11200 2.0196 11.0216 0 13.0412
11300 2.21277 11.2142 0 13.427
11400 2.64657 11.7501 0 14.3967
11500 3.13647 12.9891 0 16.1255
11600 3.47564 14.6268 0 18.1024
11700 3.73113 15.2486 0 18.9797
11800 3.95327 14.7054 0 18.6587
11900 4.14445 13.8627 0 18.0072
12000 3.95108 13.6836 0 17.6347
12100 3.73688 13.412 0 17.1489
12200 3.85382 13.308 0 17.1618
12300 3.87233 13.0838 0 16.9562
12400 4.10206 13.1639 0 17.2659
12500 4.7995 13.5774 0 18.3769
12600 5.49725 13.1018 0 18.5991
12700 6.24742 12.4051 0 18.6525
12800 6.66401 12.6559 0 19.3199
12900 6.97568 11.9595 0 18.9352
13000 7.21461 10.7362 0 17.9508
13100 7.48509 10.414 0 17.8991
13200 8.17441 10.349 0 18.5234
13300 9.29442 10.3502 0 19.6446
13400 10.6112 10.0186 0 20.6298
13500 10.7364 9.76263 0 20.499
13600 10.7798 9.96068 0 20.7404
13700 10.7462 10.3326 0 21.0788
13800 10.2551 10.3878 0 20.6429
13900 10.4233 10.9368 0 21.3601
14000 11.143 11.495 0 22.6381
14100 10.5562 11.9771 0 22.5333
14200 9.90869 11.8309 0 21.7396
14300 10.1 12.09 0 22.19
14400 10.6334 11.7637 0 22.3972
14500 10.8846 11.5716 0 22.4562
14600 10.0719 12.0183 0 22.0902
14700 8.89953 11.9712 0 20.8707
14800 8.40917 11.7668 0 20.176
14900 7.8954 11.8607 0 19.7561
15000 7.42558 12.2927 0 19.7183
15100 7.04984 13.0847 0 20.1345
15200 6.5198 13.898 0 20.4178
15300 6.21838 14.4028 0 20.6212
15400 6.30286 13.7948 0 20.0976
15500 6.68118 12.4081 0 19.0893
15600 6.79311 10.9752 0 17.7683
15700 6.82344 10.4236 0 17.2471
15800 6.56202 10.4529 0 17.0149
15900 6.65153 10.5898 0 17.2413
16000 6.90476 9.88337 0 16.7881
16100 7.5354 9.2297 0 16.7651
16200 8.5324 8.72204 0 17.2544
16300 8.65638 8.14366 0 16.8
16400 8.19013 7.75357 0 15.9437
16500 7.66508 7.65429 0 15.3194
16600 6.87389 8.30184 0 15.1757
16700 5.92136 9.90715 0 15.8285
16800 5.16041 10.7637 0 15.9241
16900 4.95561 10.7954 0 15.751
17000 5.50337 10.8883 0 16.3917
17100 5.98776 10.8202 0 16.8079
17200 6.627 10.3923 0 17.0193
17300 6.55794 9.86143 0 16.4194
17400 6.7332 9.48268 0 16.2159
17500 7.37945 8.91356 0 16.293
17600 7.90066 9.14392 0 17.0446
17700 8.10998 8.96277 0 17.0728
17800 8.04855 9.18303 0 17.2316
17900 8.47732 9.62077 0 18.0981
18000 9.78552 9.78395 0 19.5695
18100 10.4876 9.77086 0 20.2584
18200 11.1453 10.3396 0 21.4848
18300 11.4147 10.8509 0 22.2655
18400 11.1868 11.0712 0 22.258
18500 10.389 11.2171 0 21.6061
18600 8.60817 11.366 0 19.9742
18700 7.00453 11.8554 0 18.8599
18800 6.92814 12.0198 0 18.948
18900 7.50311 11.7506 0 19.2537
19000 7.63662 11.7186 0 19.3552
19100 7.60827 11.8164 0 19.4247
19200 7.66718 12.1301 0 19.7973
19300 7.75531 12.7662 0 20.5215
19400 7.9279 13.6864 0 21.6143
19500 7.9724 14.7653 0 22.7377
19600 7.73767 15.1292 0 22.8669
19700 7.20128 15.6341 0 22.8354
19800 6.38117 16.3417 0 22.7228
19900 6.25843 16.6231 0 22.8815
20000 6.76353 17.4321 0 24.1957
20100 7.63181 18.7296 0 26.3614
20200 8.52449 19.0143 0 27.5388
20300 9.08458 18.6056 0 27.6901
20400 9.47456 18.3245 0 27.7991
20500 9.50834 18.0289 0 27.5373
20600 9.50144 16.9023 0 26.4037
20700 10.2005 17.0462 0 27.2467
20800 10.8581 16.9994 0 27.8575
20900 11.7536 16.4903 0 28.244
21000 11.6683 15.626 0 27.2943
21100 10.9806 14.3392 0 25.3198
21200 10.184 13.1824 0 23.3664
21300 9.35214 12.9269 0 22.2791
21400 8.8428 12.7845 0 21.6273
21500 8.58052 12.5678 0 21.1483
21600 8.5485 12.783 0 21.3315
21700 9.0065 12.4915 0 21.4981
21800 9.89902 11.6978 0 21.5969
21900 10.8672 11.3018 0 22.1689
22000 11.5277 10.5207 0 22.0484
22100 11.9606 10.2511 0 22.2118
22200 13.1305 10.3821 0 23.5126
22300 14.193 9.89721 0 24.0902
22400 15.4238 9.19934 0 24.6232
22500 16.802 9.25817 0 26.0602
22600 17.2246 10.0806 0 27.3052
22700 18.3276 10.2769 0 28.6045
22800 19.5988 9.88242 0 29.4812
22900 20.333 10.1562 0 30.4893
23000 20.8899 10.4824 0 31.3723
23100 20.0921 10.4599 0 30.552
23200 18.5343 10.3014 0 28.8357
23300 17.0753 9.93238 0 27.0077
23400 16.0388 9.32314 0 25.362
23500 14.5551 8.58976 0 23.1449
23600 13.3508 9.05854 0 22.4094
23700 13.1975 10.2762 0 23.4738
23800 13.0922 11.4677 0 24.5599
23900 12.3942 12.2247 0 24.6189
24000 11.3202 13.1365 0 24.4567
24100 10.8775 12.9532 0 23.8307
24200 11.3928 12.3001 0 23.693
24300 12.3019 11.5123 0 23.8143
24400 13.0728 10.659 0 23.7318
24500 14.1066 10.1488 0 24.2554
24600 14.3012 9.84572 0 24.1469
