# Time-averaged data for fix 4
# TimeStep c_1[1] c_1[2] c_1[3] c_1[4]
100 0.119578 0.149446 0 0.269023
200 0.771819 0.964604 0 1.73642
300 2.04524 2.5561 0 4.60135
400 3.93985 4.92394 0 8.86379
500 6.45564 8.06813 0 14.5238
600 9.59261 11.9886 0 21.5813
700 13.3508 16.6855 0 30.0363
800 17.7301 22.1587 0 39.8888
900 22.7306 28.4083 0 51.1389
1000 28.3523 35.4342 0 63.7865
1100 34.5952 43.2364 0 77.8316
1200 41.4592 51.8149 0 93.2742
1300 48.9445 61.1699 0 110.114
1400 57.0509 71.3011 0 128.352
1500 65.7785 82.2087 0 147.987
1600 75.1273 93.8926 0 169.02
1700 85.0973 106.353 0 191.45
1800 95.6884 119.59 0 215.278
1900 106.901 133.602 0 240.503
2000 118.734 148.392 0 267.126
2100 131.189 163.957 0 295.146
2200 144.265 180.299 0 324.564
2300 157.962 197.418 0 355.38
2400 172.28 215.312 0 387.593
2500 187.22 233.983 0 421.203
2600 202.78 253.431 0 456.211
2700 218.962 273.654 0 492.616
2800 235.765 294.654 0 530.419
2900 253.189 316.431 0 569.62
3000 271.235 338.984 0 610.218
3100 289.901 362.313 0 652.214
3200 309.189 386.418 0 695.607
3300 329.098 411.3 0 740.397
3400 349.628 436.958 0 786.586
3500 370.779 463.392 0 834.171
3600 392.551 490.603 0 883.154
3700 414.945 518.59 0 933.535
3800 437.96 547.354 0 985.313
3900 461.596 576.893 0 1038.49
4000 485.853 607.209 0 1093.06
4100 510.731 638.302 0 1149.03
4200 536.231 670.171 0 1206.4
4300 562.352 702.816 0 1265.17
4400 589.093 736.237 0 1325.33
4500 616.456 770.435 0 1386.89
4600 644.441 805.409 0 1449.85
4700 673.046 841.16 0 1514.21
4800 702.273 877.687 0 1579.96
4900 732.121 914.99 0 1647.11
5000 762.59 953.069 0 1715.66
5100 793.68 991.925 0 1785.61
5200 825.391 1031.56 0 1856.95
5300 857.724 1071.97 0 1929.69
5400 890.677 1113.15 0 2003.83
5500 924.252 1155.11 0 2079.36
5600 958.448 1197.85 0 2156.3
5700 993.266 1241.36 0 2234.63
5800 1028.7 1285.65 0 2314.36
5900 1064.76 1330.72 0 2395.48
6000 1101.44 1376.56 0 2478.01
6100 1138.75 1423.18 0 2561.93
6200 1176.67 1470.58 0 2647.25
6300 1215.21 1518.75 0 2733.96
6400 1254.38 1567.7 0 2822.08
6500 1294.17 1617.42 0 2911.59
6600 1334.57 1667.92 0 3002.5
6700 1375.6 1719.2 0 3094.8
6800 1417.25 1771.26 0 3188.51
6900 1459.52 1824.09 0 3283.61
7000 1502.42 1877.69 0 3380.11
7100 1545.93 1932.07 0 3478.01
7200 1590.07 1987.23 0 3577.3
7300 1634.82 2043.17 0 3677.99
7400 1680.2 2099.88 0 3780.08
7500 1726.2 2157.37 0 3883.57
7600 1772.82 2215.63 0 3988.45
7700 1820.06 2274.67 0 4094.73
7800 1867.92 2334.49 0 4202.41
7900 1916.4 2395.08 0 4311.49
8000 1965.51 2456.45 0 4421.96
8100 2015.23 2518.6 0 4533.83
8200 2065.58 2581.52 0 4647.1
8300 2116.55 2645.22 0 4761.77
8400 2168.14 2709.7 0 4877.83
8500 2220.35 2774.95 0 4995.3
8600 2273.18 2840.98 0 5114.16
8700 2326.63 2907.78 0 5234.41
8800 2380.71 2975.36 0 5356.07
8900 2435.4 3043.72 0 5479.12
9000 2490.72 3112.85 0 5603.57
9100 2546.66 3182.76 0 5729.42
9200 2603.21 3253.45 0 5856.66
9300 2660.39 3324.91 0 5985.3
9400 2718.2 3397.15 0 6115.34
9500 2776.62 3470.16 0 6246.78
9600 2835.66 3543.95 0 6379.61
9700 2895.33 3618.52 0 6513.85
9800 2955.61 3693.86 0 6649.48
9900 3016.52 3769.98 0 6786.5
10000 3078.05 3846.88 0 6924.93
10100 3140.2 3924.55 0 7064.75
10200 3202.97 4003 0 7205.97
10300 3266.36 4082.23 0 7348.59
10400 3330.37 4162.23 0 7492.6
10500 3395 4243.01 0 7638.01
10600 3460.26 4324.56 0 7784.82
10700 3526.14 4406.89 0 7933.03
10800 3592.63 4490 0 8082.64
10900 3659.75 4573.89 0 8233.64
11000 3727.49 4658.55 0 8386.04
11100 3795.85 4743.98 0 8539.84
11200 3864.84 4830.19 0 8695.03
11300 3934.44 4917.18 0 8851.62
11400 4004.66 5004.95 0 9009.61
11500 4075.51 5093.49 0 9169
11600 4146.98 5182.81 0 9329.79
11700 4219.06 5272.9 0 9491.97
11800 4291.77 5363.77 0 9655.55
11900 4365.1 5455.42 0 9820.53
12000 4439.06 5547.84 0 9986.9
12100 4513.63 5641.04 0 10154.7
12200 4588.82 5735.02 0 10323.8
12300 4664.64 5829.77 0 10494.4
12400 4741.07 5925.3 0 10666.4
12500 4818.13 6021.61 0 10839.7
12600 4895.81 6118.69 0 11014.5
12700 4974.11 6216.55 0 11190.7
12800 5053.03 6315.18 0 11368.2
12900 5132.57 6414.59 0 11547.2
13000 5212.74 6514.78 0 11727.5
13100 5293.52 6615.74 0 11909.3
13200 5374.93 6717.48 0 12092.4
13300 5456.96 6820 0 12277
13400 5539.6 6923.29 0 12462.9
13500 5622.87 7027.36 0 12650.2
13600 5706.76 7132.2 0 12839
13700 5791.28 7237.82 0 13029.1
13800 5876.41 7344.22 0 13220.6
13900 5962.16 7451.39 0 13413.6
14000 6048.54 7559.34 0 13607.9
14100 6135.54 7668.07 0 13803.6
14200 6223.15 7777.57 0 14000.7
14300 6311.39 7887.85 0 14199.2
14400 6400.25 7998.91 0 14399.2
14500 6489.73 8110.74 0 14600.5
14600 6579.84 8223.35 0 14803.2
14700 6670.56 8336.73 0 15007.3
14800 6761.9 8450.89 0 15212.8
14900 6853.87 8565.83 0 15419.7
15000 6946.46 8681.55 0 15628
15100 7039.67 8798.04 0 15837.7
15200 7133.5 8915.3 0 16048.8
15300 7227.95 9033.34 0 16261.3
15400 7323.02 9152.16 0 16475.2
15500 7418.71 9271.76 0 16690.5
15600 7515.03 9392.13 0 16907.2
15700 7611.96 9513.28 0 17125.2
15800 7709.52 9635.2 0 17344.7
15900 7807.7 9757.9 0 17565.6
16000 7906.49 9881.38 0 17787.9
16100 8005.91 10005.6 0 18011.5
16200 8105.96 10130.7 0 18236.6
16300 8206.62 10256.5 0 18463.1
16400 8307.9 10383.1 0 18691
16500 8409.81 10510.4 0 18920.2
16600 8512.33 10638.5 0 19150.9
16700 8615.48 10767.5 0 19382.9
16800 8719.25 10897.1 0 19616.4
16900 8823.64 11027.6 0 19851.2
17000 8928.65 11158.9 0 20087.5
17100 9034.28 11290.9 0 20325.1
17200 9140.54 11423.7 0 20564.2
17300 9247.41 11557.2 0 20804.6
17400 9354.91 11691.6 0 21046.5
17500 9463.02 11826.7 0 21289.7
17600 9571.76 11962.6 0 21534.4
17700 9681.12 12099.3 0 21780.4
17800 9791.1 12236.7 0 22027.8
17900 9901.7 12374.9 0 22276.7
18000 10012.9 12514 0 22526.9
18100 10124.8 12653.7 0 22778.5
18200 10237.2 12794.3 0 23031.5
18300 10350.3 12935.6 0 23285.9
18400 10464 13077.7 0 23541.8
18500 10578.4 13220.6 0 23799
18600 10693.3 13364.3 0 24057.6
18700 10808.9 13508.7 0 24317.6
18800 10925.1 13653.9 0 24579
18900 11041.9 13799.9 0 24841.8
19000 11159.3 13946.7 0 25106
19100 11277.4 14094.2 0 25371.6
19200 11396 14242.6 0 25638.6
19300 11515.3 14391.7 0 25907
19400 11635.3 14541.5 0 26176.8
19500 11755.8 14692.2 0 26448
19600 11877 14843.6 0 26720.6
19700 11998.7 14995.8 0 26994.5
19800 12121.2 15148.8 0 27269.9
19900 12244.2 15302.5 0 27546.7
20000 12367.8 15457.1 0 27824.9
20100 12492.1 15612.4 0 28104.5
20200 12617 15768.5 0 28385.4
20300 12742.5 15925.3 0 28667.8
20400 12868.6 16082.9 0 28951.6
20500 12995.4 16241.4 0 29236.7
20600 13122.7 16400.6 0 29523.3
20700 13250.7 16560.5 0 29811.3
20800 13379.4 16721.3 0 30100.6
20900 13508.6 16882.8 0 30391.4
21000 13638.5 17045.1 0 30683.5
21100 13768.9 17208.1 0 30977.1
21200 13900 17372 0 31272
21300 14031.8 17536.6 0 31568.4
21400 14164.1 17702 0 31866.1
21500 14297.1 17868.2 0 32165.2
21600 14430.6 18035.1 0 32465.8
21700 14564.9 18202.9 0 32767.7
21800 14699.7 18371.4 0 33071.1
21900 14835.1 18540.7 0 33375.8
22000 14971.2 18710.7 0 33681.9
22100 15107.9 18881.5 0 33989.4
22200 15245.2 19053.2 0 34298.4
22300 15383.1 19225.5 0 34608.7
22400 15521.7 19398.7 0 34920.4
22500 15660.9 19572.6 0 35233.5
22600 15800.7 19747.4 0 35548
22700 15941.1 19922.8 0 35863.9
22800 16082.1 20099.1 0 36181.2
22900 16223.8 20276.2 0 36499.9
23000 16366.1 20454 0 36820
23100 16509 20632.6 0 37141.5
23200 16652.5 20812 0 37464.4
23300 16796.6 20992.1 0 37788.7
23400 16941.4 21173 0 38114.4
23500 17086.8 21354.7 0 38441.5
23600 17232.8 21537.2 0 38770
23700 17379.4 21720.5 0 39099.9
23800 17526.7 21904.5 0 39431.2
23900 17674.6 22089.3 0 39763.9
24000 17823 22274.9 0 40097.9
24100 17972.2 22461.3 0 40433.4
24200 18121.9 22648.4 0 40770.3
24300 18272.3 22836.3 0 41108.6
24400 18423.2 23025 0 41448.2
24500 18574.8 23214.5 0 41789.3
24600 18727.1 23404.7 0 42131.8
24700 18879.9 23595.7 0 42475.6
24800 19033.4 23787.5 0 42820.9
24900 19187.4 23980.1 0 43167.5
25000 19342.1 24173.4 0 43515.6
25100 19497.5 24367.6 0 43865
25200 19653.4 24562.5 0 44215.9
25300 19810 24758.1 0 44568.1
25400 19967.2 24954.6 0 44921.8
25500 20125 25151.8 0 45276.8
25600 20283.4 25349.8 0 45633.2
25700 20442.5 25548.6 0 45991.1
25800 20602.2 25748.2 0 46350.3
25900 20762.4 25948.5 0 46710.9
26000 20923.4 26149.6 0 47073
26100 21084.9 26351.5 0 47436.4
26200 21247.1 26554.2 0 47801.2
26300 21409.8 26757.6 0 48167.4
26400 21573.2 26961.8 0 48535.1
26500 21737.3 27166.8 0 48904.1
26600 21901.9 27372.6 0 49274.5
26700 22067.2 27579.1 0 49646.3
26800 22233.1 27786.4 0 50019.5
26900 22399.6 27994.5 0 50394.1
27000 22566.7 28203.4 0 50770.1
27100 22734.5 28413.1 0 51147.5
27200 22902.8 28623.5 0 51526.3
27300 23071.8 28834.7 0 51906.5
27400 23241.4 29046.7 0 52288.1
27500 23411.7 29259.4 0 52671.1
27600 23582.5 29473 0 53055.5
27700 23754 29687.3 0 53441.3
27800 23926.1 29902.4 0 53828.5
27900 24098.8 30118.2 0 54217
28000 24272.2 30334.9 0 54607
28100 24446.1 30552.3 0 54998.4
28200 24620.7 30770.5 0 55391.2
28300 24795.9 30989.4 0 55785.3
28400 24971.7 31209.2 0 56180.9
28500 25148.2 31429.7 0 56577.9
28600 25325.2 31651 0 56976.2
28700 25502.9 31873.1 0 57376
28800 25681.2 32095.9 0 57777.2
28900 25860.2 32319.5 0 58179.7
29000 26039.7 32543.9 0 58583.7
29100 26219.9 32769.1 0 58989
29200 26400.7 32995.1 0 59395.8
29300 26582.1 33221.8 0 59803.9
29400 26764.2 33449.3 0 60213.5
29500 26946.8 33677.6 0 60624.4
29600 27130.1 33906.7 0 61036.7
29700 27314 34136.5 0 61450.5
29800 27498.5 34367.1 0 61865.6
29900 27683.7 34598.5 0 62282.2
30000 27869.4 34830.7 0 62700.1
30100 28055.8 35063.6 0 63119.4
30200 28242.8 35297.3 0 63540.1
30300 28430.4 35531.8 0 63962.3
30400 28618.7 35767.1 0 64385.8
30500 28807.6 36003.1 0 64810.7
30600 28997.1 36239.9 0 65237
30700 29187.2 36477.5 0 65664.7
30800 29377.9 36715.9 0 66093.8
