# Histogrammed data for fix 3
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
1000000 50 100000 0 0.157751 3.394
1 0.1 1000 0.01
2 0.3 5000 0.05
3 0.5 2000 0.02
4 0.7 9000 0.09
5 0.9 5000 0.05
6 1.1 14000 0.14
7 1.3 11000 0.11
8 1.5 11000 0.11
9 1.7 9000 0.09
10 1.9 7000 0.07
11 2.1 8000 0.08
12 2.3 8000 0.08
13 2.5 2000 0.02
14 2.7 3000 0.03
15 2.9 4000 0.04
16 3.1 0 0
17 3.3 1000 0.01
18 3.5 0 0
19 3.7 0 0
20 3.9 0 0
21 4.1 0 0
22 4.3 0 0
23 4.5 0 0
24 4.7 0 0
25 4.9 0 0
26 5.1 0 0
27 5.3 0 0
28 5.5 0 0
29 5.7 0 0
30 5.9 0 0
31 6.1 0 0
32 6.3 0 0
33 6.5 0 0
34 6.7 0 0
35 6.9 0 0
36 7.1 0 0
37 7.3 0 0
38 7.5 0 0
39 7.7 0 0
40 7.9 0 0
41 8.1 0 0
42 8.3 0 0
43 8.5 0 0
44 8.7 0 0
45 8.9 0 0
46 9.1 0 0
47 9.3 0 0
48 9.5 0 0
49 9.7 0 0
50 9.9 0 0
