# Time-averaged data for fix 4
# TimeStep c_1[1] c_1[2] c_1[3] c_1[4]
100 0.0933002 0.102035 0 0.195335
200 0.481809 0.554258 0 1.03607
300 0.988841 1.29953 0 2.28837
400 1.51286 2.05145 0 3.56431
500 2.22557 2.85105 0 5.07662
600 3.15703 3.75471 0 6.91174
700 4.01622 4.69591 0 8.71213
800 4.94179 5.445 0 10.3868
900 5.70972 5.96503 0 11.6747
1000 6.40901 6.8077 0 13.2167
1100 7.21316 7.75417 0 14.9673
1200 7.71967 8.84687 0 16.5665
1300 8.34324 9.5045 0 17.8477
1400 8.83004 10.0028 0 18.8329
1500 9.05661 10.3954 0 19.452
1600 9.46214 10.621 0 20.0831
1700 10.3984 10.7604 0 21.1588
1800 11.1865 11.0583 0 22.2448
1900 11.6852 11.4858 0 23.171
2000 12.3439 11.9393 0 24.2832
2100 12.6908 12.5148 0 25.2056
2200 13.1806 12.6907 0 25.8713
2300 13.6539 13.0188 0 26.6727
2400 14.3533 13.2814 0 27.6347
2500 15.595 13.2526 0 28.8476
2600 16.4923 13.7561 0 30.2483
2700 16.8727 14.1258 0 30.9985
2800 17.5132 14.3079 0 31.8211
2900 17.988 14.9155 0 32.9035
3000 18.6594 15.6492 0 34.3086
3100 19.6769 16.2723 0 35.9493
3200 20.4678 16.5442 0 37.012
3300 20.8799 17.2783 0 38.1582
3400 21.4164 18.194 0 39.6105
3500 22.4007 19.1594 0 41.5601
3600 23.1397 19.4493 0 42.589
3700 23.4039 19.9896 0 43.3935
3800 23.7567 20.742 0 44.4986
3900 23.9375 21.2456 0 45.1831
4000 24.551 21.6903 0 46.2413
4100 25.7299 21.395 0 47.1249
4200 26.2621 22.2765 0 48.5386
4300 27.2719 23.8281 0 51.0999
4400 28.3822 24.3932 0 52.7754
4500 28.9613 24.3655 0 53.3268
4600 28.545 25.2073 0 53.7524
4700 28.7668 26.4007 0 55.1675
4800 29.2827 27.4031 0 56.6858
4900 29.4665 28.6811 0 58.1477
5000 29.8106 29.3053 0 59.1158
5100 30.9878 29.5651 0 60.5529
5200 31.9312 30.1906 0 62.1219
5300 32.5796 31.1774 0 63.757
5400 32.5646 31.5442 0 64.1088
5500 32.4627 32.2263 0 64.689
5600 33.3599 32.4724 0 65.8323
5700 33.6796 33.5079 0 67.1875
5800 33.9992 34.6744 0 68.6736
5900 34.8496 35.6223 0 70.4718
6000 35.4972 36.1046 0 71.6018
6100 35.5426 36.3722 0 71.9148
6200 35.7223 37.8808 0 73.6031
6300 35.4109 39.2817 0 74.6926
6400 35.216 39.9759 0 75.1919
6500 35.4328 40.0163 0 75.4491
6600 36.4646 40.6408 0 77.1054
6700 36.3918 41.1833 0 77.5751
6800 36.4961 41.8309 0 78.327
6900 37.295 42.3134 0 79.6084
7000 38.5617 43.1687 0 81.7304
7100 39.5776 43.6968 0 83.2743
7200 40.0771 44.5985 0 84.6756
7300 39.5944 46.0053 0 85.5997
7400 39.8298 46.1806 0 86.0104
7500 41.1084 45.8036 0 86.9119
7600 42.2768 45.9455 0 88.2224
7700 42.9715 45.8882 0 88.8597
7800 43.2386 46.3823 0 89.6209
7900 43.5706 46.9634 0 90.534
8000 42.761 48.1258 0 90.8868
8100 42.8018 48.8122 0 91.614
8200 43.2363 48.94 0 92.1763
8300 44.6765 48.9422 0 93.6187
8400 45.7131 49.083 0 94.7961
8500 47.0325 49.0349 0 96.0674
8600 48.6356 47.87 0 96.5057
8700 49.8961 47.0107 0 96.9068
8800 50.8428 47.5308 0 98.3736
8900 52.0032 48.5054 0 100.509
9000 54.2403 49.6476 0 103.888
9100 55.476 50.0024 0 105.478
9200 56.4204 50.2307 0 106.651
9300 58.0953 50.8752 0 108.971
9400 60.152 52.2591 0 112.411
9500 61.0466 53.5005 0 114.547
9600 61.389 54.089 0 115.478
9700 62.6264 54.4957 0 117.122
9800 63.5335 55.3583 0 118.892
9900 63.9517 57.2313 0 121.183
10000 64.6311 57.8404 0 122.471
10100 66.6461 58.7604 0 125.407
10200 67.9875 59.1532 0 127.141
10300 67.1084 59.2955 0 126.404
10400 66.7099 59.3543 0 126.064
10500 68.3372 60.4517 0 128.789
10600 69.1845 61.4927 0 130.677
10700 70.2151 60.6981 0 130.913
10800 70.9184 60.526 0 131.444
10900 71.6254 60.9872 0 132.613
11000 71.9614 61.7419 0 133.703
11100 72.1553 63.0947 0 135.25
11200 73.3708 64.3062 0 137.677
11300 74.7777 65.4875 0 140.265
11400 75.8167 67.2105 0 143.027
11500 76.7207 66.8522 0 143.573
11600 78.9544 65.636 0 144.59
11700 81.1716 64.2229 0 145.395
11800 82.0135 63.3857 0 145.399
11900 81.6923 62.8087 0 144.501
12000 80.3989 62.996 0 143.395
12100 79.307 62.1739 0 141.481
12200 79.3359 61.2129 0 140.549
12300 79.6196 60.4212 0 140.041
12400 79.8003 59.5978 0 139.398
12500 79.1839 59.5828 0 138.767
12600 79.9298 59.8324 0 139.762
12700 80.5247 60.613 0 141.138
12800 79.8655 60.7891 0 140.655
12900 79.9949 61.2203 0 141.215
13000 80.9079 63.004 0 143.912
13100 80.7764 64.4923 0 145.269
13200 80.6121 65.6709 0 146.283
13300 81.5094 68.0561 0 149.565
13400 83.077 69.5347 0 152.612
13500 84.3478 71.2832 0 155.631
13600 83.85 72.958 0 156.808
13700 83.6841 73.9409 0 157.625
13800 84.0322 74.8863 0 158.918
13900 83.9301 75.9668 0 159.897
14000 84.0144 75.6252 0 159.64
14100 84.9404 76.1828 0 161.123
14200 87.0323 77.9377 0 164.97
14300 88.1825 78.9509 0 167.133
14400 88.4404 79.6915 0 168.132
14500 88.4584 81.1252 0 169.584
14600 88.4458 81.7643 0 170.21
14700 87.5634 82.6815 0 170.245
14800 86.2208 83.5122 0 169.733
14900 86.3706 85.1605 0 171.531
15000 86.4029 86.4818 0 172.885
15100 87.2682 87.1757 0 174.444
15200 88.3597 88.1123 0 176.472
15300 88.2436 88.5848 0 176.828
15400 88.4608 89.9338 0 178.395
15500 89.1259 89.9566 0 179.083
15600 89.1205 89.3134 0 178.434
15700 89.8094 89.771 0 179.58
15800 91.7435 90.6426 0 182.386
15900 93.0022 89.2256 0 182.228
16000 92.2037 89.3658 0 181.569
16100 91.741 90.3864 0 182.127
16200 92.3174 91.4261 0 183.743
16300 91.6214 93.1291 0 184.751
16400 91.3685 94.3588 0 185.727
16500 91.5211 94.8692 0 186.39
