# Histogrammed data for fix 3
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
1000000 50 100000 0 0.0056925 6.11364
1 0.1 1319 0.01319
2 0.3 3901 0.03901
3 0.5 6092 0.06092
4 0.7 7787 0.07787
5 0.9 9312 0.09312
6 1.1 9730 0.0973
7 1.3 9659 0.09659
8 1.5 9346 0.09346
9 1.7 8690 0.0869
10 1.9 7647 0.07647
11 2.1 6569 0.06569
12 2.3 5349 0.05349
13 2.5 4136 0.04136
14 2.7 3175 0.03175
15 2.9 2291 0.02291
16 3.1 1696 0.01696
17 3.3 1199 0.01199
18 3.5 780 0.0078
19 3.7 523 0.00523
20 3.9 337 0.00337
21 4.1 209 0.00209
22 4.3 111 0.00111
23 4.5 69 0.00069
24 4.7 26 0.00026
25 4.9 22 0.00022
26 5.1 11 0.00011
27 5.3 7 7e-05
28 5.5 2 2e-05
29 5.7 2 2e-05
30 5.9 1 1e-05
31 6.1 2 2e-05
32 6.3 0 0
33 6.5 0 0
34 6.7 0 0
35 6.9 0 0
36 7.1 0 0
37 7.3 0 0
38 7.5 0 0
39 7.7 0 0
40 7.9 0 0
41 8.1 0 0
42 8.3 0 0
43 8.5 0 0
44 8.7 0 0
45 8.9 0 0
46 9.1 0 0
47 9.3 0 0
48 9.5 0 0
49 9.7 0 0
50 9.9 0 0
