# Histogrammed data for fix 5
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
200000 50 24200 0 0 15.1906
1 0.3 0 0
2 0.9 84 0.00347107
3 1.5 224 0.0092562
4 2.1 251 0.0103719
5 2.7 302 0.0124793
6 3.3 413 0.0170661
7 3.9 471 0.0194628
8 4.5 616 0.0254545
9 5.1 781 0.0322727
10 5.7 952 0.0393388
11 6.3 1122 0.0463636
12 6.9 1280 0.0528926
13 7.5 1440 0.0595041
14 8.1 1685 0.0696281
15 8.7 2098 0.0866942
16 9.3 2252 0.0930579
17 9.9 2454 0.101405
18 10.5 2338 0.0966116
19 11.1 2133 0.0881405
20 11.7 1552 0.0641322
21 12.3 983 0.0406198
22 12.9 512 0.021157
23 13.5 205 0.00847107
24 14.1 44 0.00181818
25 14.7 7 0.000289256
26 15.3 1 4.13223e-05
27 15.9 0 0
28 16.5 0 0
29 17.1 0 0
30 17.7 0 0
31 18.3 0 0
32 18.9 0 0
33 19.5 0 0
34 20.1 0 0
35 20.7 0 0
36 21.3 0 0
37 21.9 0 0
38 22.5 0 0
39 23.1 0 0
40 23.7 0 0
41 24.3 0 0
42 24.9 0 0
43 25.5 0 0
44 26.1 0 0
45 26.7 0 0
46 27.3 0 0
47 27.9 0 0
48 28.5 0 0
49 29.1 0 0
50 29.7 0 0
