# Histogrammed data for fix 4
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
200000 50 484000 0 0 15.1906
1 0.3 0 0
2 0.9 31191 0.0644442
3 1.5 29407 0.0607583
4 2.1 32871 0.0679153
5 2.7 33327 0.0688574
6 3.3 32776 0.067719
7 3.9 32251 0.0666343
8 4.5 31985 0.0660847
9 5.1 30948 0.0639421
10 5.7 30315 0.0626343
11 6.3 29616 0.0611901
12 6.9 28626 0.0591446
13 7.5 26994 0.0557727
14 8.1 25200 0.0520661
15 8.7 22937 0.0473905
16 9.3 19847 0.0410062
17 9.9 16356 0.0337934
18 10.5 12467 0.0257583
19 11.1 8305 0.0171591
20 11.7 4851 0.0100227
21 12.3 2388 0.00493388
22 12.9 968 0.002
23 13.5 308 0.000636364
24 14.1 55 0.000113636
25 14.7 10 2.06612e-05
26 15.3 1 2.06612e-06
27 15.9 0 0
28 16.5 0 0
29 17.1 0 0
30 17.7 0 0
31 18.3 0 0
32 18.9 0 0
33 19.5 0 0
34 20.1 0 0
35 20.7 0 0
36 21.3 0 0
37 21.9 0 0
38 22.5 0 0
39 23.1 0 0
40 23.7 0 0
41 24.3 0 0
42 24.9 0 0
43 25.5 0 0
44 26.1 0 0
45 26.7 0 0
46 27.3 0 0
47 27.9 0 0
48 28.5 0 0
49 29.1 0 0
50 29.7 0 0
