# Time-averaged data for fix rg
# TimeStep c_rg
0 5.76628
1000 4.24783
2000 1.99947
3000 2.1404
4000 2.51343
5000 2.64196
6000 2.09514
7000 2.34979
8000 2.93729
9000 2.20599
10000 2.56025
11000 2.2186
12000 2.39464
13000 1.91576
14000 2.56625
15000 2.8035
16000 2.14538
17000 2.36123
18000 2.66709
19000 2.77219
20000 2.71337
21000 2.38564
22000 2.46764
23000 2.2996
24000 2.36483
25000 2.28191
26000 2.92787
27000 2.38267
28000 2.15782
29000 2.35878
30000 1.86722
31000 2.05953
32000 3.17301
33000 2.99795
34000 2.39293
35000 1.70243
36000 2.50605
37000 3.12458
38000 2.71526
39000 2.83542
40000 2.52459
41000 2.51265
42000 3.21974
43000 2.48898
44000 2.47931
45000 2.54543
46000 2.69157
47000 2.54373
48000 3.32935
49000 3.15979
50000 3.23022
51000 3.15987
52000 3.39269
53000 3.60255
54000 3.81631
55000 3.15618
56000 2.71071
57000 3.46827
58000 3.03673
59000 2.56006
60000 2.44752
61000 2.67238
62000 3.20331
63000 3.233
64000 2.94145
65000 2.86323
66000 2.1279
67000 2.41554
68000 3.35437
69000 3.86496
70000 3.21038
71000 2.5117
72000 2.3891
73000 1.94686
74000 3.373
75000 3.53156
76000 3.07962
77000 2.84239
78000 2.65246
79000 2.17207
80000 2.19055
81000 2.79369
82000 2.6305
83000 2.78679
84000 2.2833
85000 2.79634
86000 2.38959
87000 2.2684
88000 2.04791
89000 3.16997
90000 3.30914
91000 3.02216
92000 3.04554
93000 2.50775
94000 2.32523
95000 2.61635
96000 2.95219
97000 3.35842
98000 3.22799
99000 3.0625
100000 2.82005
101000 2.58665
102000 2.35086
103000 2.39404
104000 2.92938
105000 3.28254
106000 3.46473
107000 2.92898
108000 2.58063
109000 2.23094
110000 2.35433
111000 3.12707
112000 3.39491
113000 3.47809
114000 3.08196
115000 2.2781
116000 2.49285
117000 2.00532
118000 1.83403
119000 2.08179
120000 2.54757
121000 2.41263
122000 2.3242
123000 2.8904
124000 3.05398
125000 2.4139
126000 2.32193
127000 2.56611
128000 2.33268
129000 2.64381
130000 3.01108
131000 2.84929
132000 3.23948
133000 3.12196
134000 2.9234
135000 2.89983
136000 2.23322
137000 2.84702
138000 2.36981
139000 2.80264
140000 3.25816
141000 3.2305
142000 3.01546
143000 2.87848
144000 3.20254
145000 2.84503
146000 2.60146
147000 2.16597
148000 2.56611
149000 2.64745
150000 2.77872
151000 2.56558
152000 3.21954
153000 3.10613
154000 2.71116
155000 2.37836
156000 2.36825
157000 2.49772
158000 2.73322
159000 2.62331
160000 2.62811
161000 2.84706
162000 3.33103
163000 2.79115
164000 2.31002
165000 2.38392
166000 1.92574
167000 1.97311
168000 2.26169
169000 2.66682
170000 2.46707
171000 2.15661
172000 2.05057
173000 2.41398
174000 2.60121
175000 3.0699
176000 3.14023
177000 3.10066
178000 2.46481
179000 2.16162
180000 2.13167
181000 1.98942
182000 2.57742
183000 2.532
184000 3.16422
185000 2.74475
186000 2.31502
187000 2.62869
188000 2.38786
189000 2.3098
190000 2.34041
191000 2.92602
192000 2.37516
193000 3.06746
194000 2.96666
195000 2.99834
196000 2.94087
197000 2.49033
198000 2.69114
199000 2.44149
200000 2.4845
201000 2.7594
202000 2.92816
203000 3.03824
204000 2.78824
205000 3.06453
206000 2.62825
207000 2.70814
208000 2.37864
209000 2.79006
210000 3.44019
211000 3.11556
212000 3.4666
213000 3.04755
214000 2.77348
215000 2.80639
216000 2.21904
217000 2.31902
218000 2.55843
219000 3.17515
220000 3.61354
221000 3.09624
222000 3.10446
223000 2.14088
224000 2.25102
225000 2.07405
226000 1.76281
227000 2.232
228000 2.15559
229000 2.21394
230000 3.19858
231000 3.2298
232000 2.59238
233000 2.06865
234000 2.42217
235000 3.0124
236000 3.37473
237000 3.01667
238000 2.86851
239000 2.83998
240000 2.3336
241000 2.02779
242000 2.70136
243000 3.14911
244000 2.93119
245000 3.0425
246000 3.09447
247000 3.11018
248000 2.31743
249000 2.05963
250000 2.00353
251000 2.04997
252000 2.28796
253000 2.44594
254000 3.11142
255000 3.07685
256000 2.78886
257000 2.92675
258000 2.48385
259000 2.04595
260000 1.68298
261000 2.0235
262000 2.39807
263000 2.79466
264000 3.1048
265000 3.24861
266000 3.15581
267000 3.17699
268000 2.9401
269000 2.73142
270000 2.58924
271000 2.2997
272000 1.87887
273000 2.07569
274000 2.85993
275000 2.68007
276000 2.65429
277000 2.91326
278000 2.68326
279000 2.15083
280000 1.89661
281000 2.11721
282000 2.09946
283000 2.28661
284000 2.45105
285000 3.07586
286000 3.05666
287000 2.56545
288000 2.7379
289000 3.46708
290000 3.06456
291000 2.86845
292000 3.16019
293000 2.99444
294000 2.7876
295000 2.67377
296000 2.74394
297000 2.53402
298000 3.30324
299000 3.49573
300000 3.02809
301000 2.63585
302000 3.16626
303000 3.00601
304000 3.08437
305000 2.66263
306000 2.53923
307000 2.33361
308000 2.7002
309000 2.71894
310000 2.94659
311000 3.10998
312000 2.57543
313000 2.57329
314000 2.3276
315000 2.27181
316000 1.93432
317000 2.72475
318000 2.33979
319000 2.51846
320000 2.80566
321000 2.42634
322000 2.37808
323000 2.63695
324000 2.73791
325000 3.00217
326000 2.24024
327000 2.41341
328000 2.39401
329000 2.55441
330000 2.09662
331000 2.58096
332000 2.6099
333000 2.7774
334000 2.54109
335000 2.54576
336000 2.43878
337000 2.77808
338000 2.78105
339000 2.43802
340000 2.30444
341000 2.2334
342000 2.38458
343000 2.31768
344000 1.99658
345000 2.3399
346000 2.21071
347000 2.15835
348000 2.9036
349000 2.91126
350000 2.85929
