# Time-averaged data for fix 4
# TimeStep c_1
0 20.1225
1000 14.9666
2000 5.44251
3000 2.8882
4000 3.98958
5000 4.37431
6000 4.44886
7000 4.13684
8000 5.94517
9000 2.56638
10000 1.80928
11000 5.12045
12000 1.7116
13000 2.18219
14000 3.94684
15000 8.7518
16000 5.77961
17000 5.02951
18000 6.87171
19000 5.92852
20000 5.25296
21000 4.66687
22000 2.11514
23000 4.54958
24000 2.7885
25000 2.3522
26000 5.64842
27000 5.58695
28000 5.49481
29000 3.45338
30000 3.07131
31000 1.07286
32000 4.58304
33000 4.96172
34000 5.77627
35000 4.12197
36000 7.55498
37000 6.02085
38000 6.74653
39000 5.23275
40000 5.25674
41000 1.21295
42000 4.78022
43000 7.02939
44000 5.31284
45000 8.08482
46000 8.09777
47000 3.3435
48000 2.7056
49000 2.85197
50000 7.63642
51000 8.88741
52000 10.5296
53000 12.8656
54000 9.85724
55000 6.09248
56000 1.40628
57000 2.99482
58000 6.52501
59000 7.10401
60000 7.62788
61000 4.81434
62000 3.34701
63000 6.30058
64000 2.31262
65000 1.7906
66000 4.89031
67000 7.50173
68000 6.42615
69000 4.39481
70000 5.82567
71000 2.60184
72000 1.5753
73000 3.2237
74000 2.62821
75000 5.06823
76000 3.34435
77000 2.51316
78000 1.77335
79000 1.60162
80000 2.16873
81000 3.93188
82000 5.80062
83000 4.88919
84000 5.34913
85000 5.57855
86000 5.30491
87000 2.2342
88000 2.16908
89000 3.3661
90000 7.01101
91000 6.96909
92000 9.74389
93000 7.55315
94000 3.41766
95000 2.1324
96000 4.42779
97000 6.90799
98000 5.42901
99000 5.99009
100000 5.91797
101000 3.12369
102000 4.41566
103000 4.26619
104000 4.74073
105000 6.76536
106000 4.86564
107000 2.47474
108000 1.49057
109000 2.11369
110000 3.68833
111000 9.21109
112000 9.0096
113000 9.27103
114000 7.26359
115000 2.91223
116000 2.06202
117000 1.77889
118000 2.93646
119000 4.29064
120000 4.19196
121000 6.80888
122000 6.13675
123000 7.94767
124000 6.51928
125000 6.79602
126000 6.65815
127000 4.5068
128000 4.81046
129000 4.97912
130000 3.23141
131000 1.60298
132000 1.37261
133000 2.35413
134000 1.62496
135000 2.83812
136000 4.83146
137000 3.91392
138000 7.27131
139000 7.98403
140000 8.08259
141000 7.03883
142000 5.7147
143000 3.2802
144000 2.11998
145000 1.58061
146000 2.92989
147000 4.54156
148000 5.13356
149000 6.23589
150000 5.77898
151000 6.5584
152000 9.19533
153000 9.04349
154000 5.021
155000 2.29938
156000 1.88749
157000 2.85466
158000 4.45746
159000 5.64928
160000 6.20988
161000 9.51941
162000 10.5809
163000 9.25086
164000 4.33778
165000 5.86435
166000 5.35797
167000 4.81458
168000 4.6158
169000 4.18453
170000 2.4478
171000 1.27444
172000 2.92592
173000 4.94336
174000 7.06213
175000 9.69724
176000 10.4561
177000 8.57403
178000 9.19845
179000 6.4478
180000 4.1332
181000 3.29624
182000 5.8296
183000 7.31108
184000 5.50944
185000 3.97432
186000 6.21841
187000 4.08743
188000 6.04517
189000 4.57402
190000 1.68541
191000 2.13405
192000 2.03904
193000 4.63786
194000 5.3469
195000 4.52801
196000 5.95811
197000 5.79107
198000 4.93811
199000 5.53263
200000 4.34492
201000 4.8024
202000 4.97615
203000 2.69534
204000 3.08703
205000 2.9522
206000 3.51849
207000 4.22623
208000 4.12882
209000 6.96093
210000 9.71146
211000 10.3212
212000 8.55908
213000 9.23081
214000 7.3365
215000 2.38889
216000 2.0935
217000 4.04112
218000 4.70671
219000 5.64889
220000 6.85555
221000 9.31694
222000 6.98216
223000 5.20692
224000 7.00118
225000 4.33479
226000 2.46306
227000 4.43915
228000 5.11194
229000 3.22969
230000 2.89372
231000 2.84164
232000 2.49077
233000 1.55485
234000 2.01744
235000 3.70475
236000 5.12251
237000 5.74576
238000 5.64094
239000 7.16045
240000 8.18483
241000 4.1364
242000 7.04756
243000 7.49547
244000 7.33068
245000 4.77365
246000 3.99691
247000 4.46027
248000 1.95672
249000 2.71921
250000 3.46588
251000 5.81196
252000 6.46847
253000 6.30115
254000 7.77058
255000 9.92109
256000 7.18238
257000 4.07848
258000 4.19782
259000 4.31647
260000 3.68095
261000 1.27741
262000 2.2575
263000 5.42459
264000 5.13578
265000 6.1784
266000 8.29463
267000 7.75884
268000 5.57429
269000 5.86609
270000 3.80381
271000 2.30676
272000 1.93702
273000 4.43032
274000 7.49716
275000 7.89846
276000 8.60747
277000 7.65112
278000 7.24053
279000 5.38553
280000 4.88596
281000 5.54423
282000 4.59623
283000 2.63013
284000 1.5385
285000 2.32637
286000 5.49372
287000 6.66101
288000 7.14065
289000 6.26884
290000 8.8263
291000 9.83069
292000 8.48257
293000 8.19812
294000 6.55082
295000 5.73542
296000 4.22888
297000 2.81465
298000 0.997131
299000 3.21473
300000 6.43305
301000 7.48291
302000 9.22783
303000 7.73053
304000 8.25738
305000 8.19577
306000 7.01006
307000 6.6051
308000 5.50133
309000 6.44254
310000 3.63778
311000 2.22294
312000 2.47069
313000 5.28629
314000 5.04472
315000 4.48482
316000 3.31501
317000 3.19134
318000 3.87529
319000 4.9324
320000 7.39743
321000 7.86274
322000 8.23012
323000 7.13739
324000 6.72439
325000 5.49615
326000 4.12491
327000 3.2491
328000 2.03754
329000 1.10668
330000 2.58193
331000 3.32595
332000 4.5885
333000 4.28274
334000 3.34479
335000 4.03452
336000 6.29178
337000 8.10107
338000 8.64538
339000 6.38025
340000 6.21699
341000 4.93976
342000 4.04111
343000 2.63695
344000 3.18977
345000 3.71153
346000 4.82473
347000 4.64812
348000 1.75398
349000 4.91615
350000 7.20161
351000 7.57489
352000 5.62798
353000 6.21147
354000 4.98532
355000 5.64273
356000 8.30489
357000 6.82936
358000 5.30969
359000 4.75631
360000 3.07231
361000 1.59884
362000 1.79478
363000 1.20924
364000 2.85614
365000 2.4248
366000 4.75902
367000 5.30108
368000 4.63416
369000 8.25274
370000 8.5552
371000 8.55648
372000 9.14752
373000 9.00652
374000 9.42744
375000 6.88118
376000 8.54788
377000 8.44
378000 9.02185
379000 8.55254
380000 7.86481
381000 5.69391
382000 4.16866
383000 2.56954
384000 2.10354
385000 1.05961
386000 3.04586
387000 2.23309
388000 2.82961
389000 5.09304
390000 8.08612
391000 8.3188
392000 8.05059
393000 9.54926
394000 9.73944
395000 7.75203
396000 6.3973
397000 5.67449
398000 3.86595
399000 0.983761
400000 1.91618
401000 2.97972
402000 2.95974
403000 1.67331
404000 5.06586
405000 7.10134
406000 7.79066
407000 7.3838
408000 9.37954
409000 9.525
410000 7.85621
411000 8.58758
412000 8.44058
413000 5.31676
414000 4.94192
415000 4.86639
416000 3.67742
417000 4.25657
418000 2.51354
419000 2.49031
420000 4.045
421000 3.19711
422000 4.24689
423000 6.9148
424000 7.46466
425000 10.1599
426000 9.54329
427000 7.26739
428000 6.48883
429000 4.23444
430000 3.13271
431000 1.05648
432000 2.71467
433000 4.22874
434000 5.08702
435000 7.79437
436000 8.69042
437000 7.56243
438000 7.77624
439000 7.9656
440000 8.85383
441000 6.63118
442000 5.66943
443000 5.79517
444000 5.1811
445000 4.30582
446000 1.35896
447000 2.25152
448000 2.87533
449000 3.27595
450000 2.6241
451000 1.77135
452000 2.43625
453000 2.9735
454000 4.34893
455000 7.23524
456000 6.66437
457000 7.12159
458000 7.89734
459000 8.0749
460000 6.91869
461000 8.02624
462000 8.89256
463000 8.08708
464000 6.2956
465000 6.46589
466000 7.40942
467000 7.31157
468000 8.62836
469000 5.83041
470000 5.70559
471000 4.96589
472000 3.03445
473000 1.76892
474000 0.926576
475000 1.66794
476000 4.74549
477000 5.23708
478000 6.99277
479000 9.04002
480000 9.14304
481000 9.89224
482000 7.04162
483000 6.23619
484000 6.34349
485000 5.30281
486000 5.67774
487000 3.57648
488000 1.13337
489000 4.2973
490000 4.2628
491000 5.24157
492000 5.29013
493000 6.08073
494000 6.74381
495000 5.37251
496000 5.14356
497000 5.80333
498000 6.28875
499000 8.39255
500000 6.61711
501000 3.31242
502000 2.60299
503000 1.01211
504000 3.03568
505000 5.47028
506000 6.34361
507000 5.56949
508000 5.90556
509000 6.81524
510000 9.52931
511000 8.83493
512000 9.80832
513000 9.04046
514000 7.95993
515000 6.83308
516000 5.86515
517000 5.43841
518000 5.09285
519000 4.97628
520000 4.88772
521000 4.2583
522000 4.33798
523000 2.57069
524000 2.32885
525000 3.12265
526000 1.69472
527000 1.58612
528000 1.47562
529000 1.19941
530000 1.64747
531000 2.60995
532000 4.08547
533000 2.91658
534000 2.85097
535000 3.15133
536000 3.52648
537000 4.40047
538000 5.97888
539000 7.47715
540000 8.08628
541000 5.61533
542000 5.28792
543000 5.12541
544000 5.26326
545000 5.17295
546000 5.16736
547000 6.27673
548000 9.66925
549000 10.6366
550000 10.4724
551000 10.9002
552000 10.788
553000 11.7953
554000 10.1925
555000 9.57816
556000 8.00573
557000 6.16831
558000 5.02877
559000 5.971
560000 6.63855
561000 5.83511
562000 5.58104
563000 4.13774
564000 2.3793
565000 2.16318
566000 2.28785
567000 1.31837
568000 1.4351
569000 3.06377
570000 6.35043
571000 7.12733
572000 6.95197
573000 6.13113
574000 5.19641
575000 5.5313
576000 5.8298
577000 6.2569
578000 5.85735
579000 7.33553
580000 8.42969
581000 8.41583
582000 8.27987
583000 8.53298
584000 6.48594
585000 6.39337
586000 5.26215
587000 6.95228
588000 6.01148
589000 5.46886
590000 3.40151
591000 1.5116
592000 2.27933
593000 3.88293
594000 4.29746
595000 3.37604
596000 4.90097
597000 1.56939
598000 1.64316
599000 4.06944
600000 5.97292
601000 7.31233
602000 5.93029
603000 5.06978
604000 5.05874
605000 5.42455
606000 6.91933
607000 7.42393
608000 7.12323
609000 6.4655
610000 5.59964
611000 3.58391
612000 5.11904
613000 5.26137
614000 4.2941
615000 2.25812
616000 2.25544
617000 3.70078
618000 5.32247
619000 4.84015
620000 4.92064
621000 3.98792
622000 2.88841
623000 3.96922
624000 5.04874
625000 4.73031
626000 6.51064
627000 8.41365
628000 7.7673
629000 7.6744
630000 9.07702
631000 9.68736
632000 8.80969
633000 7.90606
634000 4.92275
635000 2.44097
636000 3.44316
637000 4.38375
638000 5.68729
639000 6.21581
640000 4.35296
641000 3.02029
642000 2.94304
643000 1.85834
644000 2.87613
645000 2.79257
646000 5.86059
647000 6.92766
648000 7.18422
649000 7.63213
650000 7.61007
651000 6.95295
652000 8.40476
653000 7.08911
654000 5.54935
655000 4.46435
656000 4.46852
657000 4.82981
658000 4.44883
659000 2.15859
660000 3.26569
661000 2.85524
662000 2.76664
663000 1.80293
664000 3.10256
665000 3.5045
666000 4.73868
667000 5.05202
668000 7.84016
669000 5.69928
670000 6.20003
671000 7.77804
672000 6.561
673000 4.48208
674000 4.19288
675000 4.78649
676000 3.02047
677000 2.57
678000 1.16788
679000 1.53051
680000 1.7637
681000 4.75528
682000 5.92128
683000 7.54199
684000 8.15348
685000 7.90354
686000 8.53538
687000 7.60449
688000 8.3978
689000 7.34482
690000 6.54069
691000 6.37727
692000 4.53951
693000 4.24891
694000 5.19777
695000 5.17703
696000 6.45802
697000 7.04559
698000 6.80483
699000 8.00868
700000 7.37565
701000 7.45305
702000 6.39934
703000 4.88194
704000 1.63498
705000 3.03496
706000 3.72571
707000 3.46322
708000 3.38645
709000 1.82315
710000 4.30579
711000 5.03804
712000 5.20362
713000 5.01018
714000 5.53385
715000 6.21079
716000 5.27105
717000 4.46525
718000 5.17543
719000 6.26978
720000 6.17173
721000 4.7268
722000 1.53221
723000 1.99706
724000 1.95016
725000 1.75469
726000 3.19722
727000 1.4264
728000 3.88634
729000 6.42548
730000 6.88667
731000 5.37527
732000 3.80677
733000 3.49823
734000 3.07201
735000 2.41059
736000 3.09298
737000 1.70477
738000 1.29473
739000 2.29923
740000 2.62843
741000 1.9898
742000 3.39994
743000 3.1062
744000 5.00881
745000 6.45252
746000 8.19546
747000 8.19216
748000 9.57121
749000 10.3635
750000 8.18586
751000 6.98368
752000 3.49565
753000 5.01252
754000 5.67848
755000 3.85227
756000 2.23193
757000 3.29201
758000 5.0467
759000 5.37182
760000 5.65434
761000 8.57638
762000 8.91731
763000 9.90043
764000 9.27469
765000 6.18361
766000 4.78852
767000 4.26165
768000 2.12934
769000 1.96115
770000 3.56597
771000 4.4011
772000 4.22385
773000 5.52663
774000 9.45064
775000 12.406
776000 12.2091
777000 11.5667
778000 10.964
779000 9.15072
780000 6.95115
781000 4.97538
782000 4.10013
783000 4.38979
784000 5.60567
785000 6.14821
786000 4.6779
787000 5.57244
788000 3.10983
789000 2.56232
790000 2.24189
791000 2.9321
792000 1.37978
793000 2.55522
794000 3.05418
795000 3.8922
796000 3.36582
797000 3.2702
798000 5.74915
799000 8.28186
800000 8.05852
801000 6.12771
802000 5.17141
803000 4.32827
804000 3.68219
805000 2.06004
806000 0.959157
807000 2.29936
808000 2.46063
809000 4.25241
810000 6.33739
811000 9.59111
812000 11.9874
813000 11.7678
814000 9.90866
815000 9.246
816000 7.21247
817000 4.60103
818000 3.03691
819000 3.61907
820000 3.22305
821000 2.54769
822000 4.47548
823000 2.74739
824000 3.20645
825000 5.6124
826000 5.70037
827000 6.61684
828000 7.82025
829000 7.33365
830000 7.04043
831000 7.76673
832000 9.52103
833000 10.2785
834000 10.0318
835000 8.32943
836000 7.92204
837000 7.71795
838000 7.81574
839000 4.68219
840000 3.28781
841000 2.48256
842000 1.97907
843000 1.40652
844000 2.24894
845000 3.39103
846000 3.94877
847000 5.50115
848000 6.18803
849000 6.56439
850000 7.51494
851000 7.60155
852000 10.2471
853000 10.0773
854000 6.21514
855000 7.58134
856000 9.7544
857000 6.0571
858000 3.68937
859000 2.72458
860000 2.73629
861000 5.34307
862000 7.81382
863000 8.24033
864000 9.88579
865000 11.8204
866000 12.976
867000 9.12459
868000 9.06592
869000 8.55896
870000 5.7283
871000 3.07732
872000 1.84925
873000 5.01201
874000 3.9842
875000 3.66608
876000 3.93766
877000 5.23593
878000 4.59871
879000 6.39808
880000 8.14718
881000 8.38919
882000 7.64072
883000 5.08263
884000 2.26904
885000 2.04104
886000 2.63091
887000 1.29634
888000 1.54353
889000 1.35489
890000 2.29811
891000 5.08053
892000 7.58023
893000 6.73486
894000 8.387
895000 7.68488
896000 8.91429
897000 8.11017
898000 5.79551
899000 4.34974
900000 3.89183
901000 3.30822
902000 2.95108
903000 4.83079
904000 6.32273
905000 4.07951
906000 2.6458
907000 1.52609
908000 2.81091
909000 3.73605
910000 4.97748
911000 2.35428
912000 1.71431
913000 1.08555
914000 2.25027
915000 2.69197
916000 4.05204
917000 3.63305
918000 4.9697
919000 6.25216
920000 5.77326
921000 6.95929
922000 8.30993
923000 8.78591
924000 9.45286
925000 8.77239
926000 5.71438
927000 4.84215
928000 3.75041
929000 4.12372
930000 3.83673
931000 5.49395
932000 5.82521
933000 5.80099
934000 7.67593
935000 6.73559
936000 6.65314
937000 6.24455
938000 4.83504
939000 3.53859
940000 3.92119
941000 3.18848
942000 1.91467
943000 2.26127
944000 1.85134
945000 3.22915
946000 2.40939
947000 1.99563
948000 2.7322
949000 1.5347
950000 2.55349
951000 2.53352
952000 3.03402
953000 3.73166
954000 4.92444
955000 6.53725
956000 7.09882
957000 7.42807
958000 6.34572
959000 5.74741
960000 2.73713
961000 4.22331
962000 3.92
963000 6.50361
964000 4.75687
965000 4.08289
966000 3.6992
967000 3.68076
968000 3.97476
969000 4.72997
970000 3.79186
971000 4.11919
972000 2.08633
973000 2.41767
974000 3.26761
975000 3.58029
976000 3.55415
977000 3.70077
978000 2.69647
979000 3.26781
980000 1.91946
981000 2.14109
982000 2.92268
983000 2.51485
984000 3.05789
985000 2.55562
986000 1.86887
987000 2.70912
988000 4.85599
989000 5.40692
990000 5.61838
991000 4.89374
992000 5.57198
993000 3.64527
994000 4.8047
995000 4.16518
996000 3.92745
997000 4.21116
998000 3.1787
999000 4.35212
1000000 4.8898
