# Time-averaged data for fix rg
# TimeStep c_rg
0 5.76628
1000 5.03994
2000 4.72114
3000 4.62486
4000 4.48985
5000 4.16893
6000 4.31222
7000 4.15649
8000 4.3291
9000 4.30822
10000 4.48901
11000 4.4236
12000 4.61092
13000 4.6158
14000 4.67787
15000 4.55845
16000 4.70867
17000 5.04781
18000 4.94065
19000 4.75602
20000 4.68457
21000 4.6484
22000 4.81571
23000 4.75326
24000 4.80856
25000 4.79725
26000 4.82559
27000 4.85346
28000 5.01234
29000 5.31449
30000 5.26405
31000 5.04337
32000 5.02576
33000 5.02665
34000 4.77884
35000 5.05629
36000 5.20628
37000 4.92849
38000 5.15079
39000 4.88676
40000 4.85483
41000 4.99869
42000 4.92788
43000 5.2484
44000 5.33906
45000 5.19583
46000 5.24438
47000 5.16071
48000 5.20749
49000 5.30961
50000 5.38813
51000 5.28288
52000 5.15286
53000 5.0688
54000 4.85189
55000 5.06026
56000 4.86892
57000 4.79925
58000 4.79488
59000 4.97329
60000 5.00527
61000 5.16587
62000 5.13476
63000 5.12323
64000 5.03067
65000 5.05184
66000 4.95369
67000 4.81992
68000 4.8988
69000 4.85604
70000 5.14823
71000 4.96247
72000 4.68474
73000 5.05165
74000 5.09183
75000 5.06339
76000 4.86811
77000 5.00154
78000 4.9218
79000 4.79069
80000 4.96143
81000 5.11595
82000 5.25413
83000 5.18554
84000 5.19015
85000 4.83765
86000 4.52013
87000 4.80369
88000 4.93563
89000 5.08995
90000 4.83421
91000 5.05152
92000 4.91644
93000 5.05144
94000 4.8781
95000 4.92187
96000 4.99896
97000 4.87889
98000 4.71223
99000 4.65891
100000 4.70248
101000 5.21623
102000 5.18818
103000 4.975
104000 4.76512
105000 4.78608
106000 4.98495
107000 5.06699
108000 5.05252
109000 4.8705
110000 4.68787
111000 4.85196
112000 5.11179
113000 4.91609
114000 5.10567
115000 5.1283
116000 4.9481
117000 4.67648
118000 4.72959
119000 4.89028
120000 4.73839
121000 4.86134
122000 5.10998
123000 5.13102
124000 5.09697
125000 4.89759
126000 5.03874
127000 5.23261
128000 5.10307
129000 4.84209
130000 4.90408
131000 5.03215
132000 5.02956
133000 4.92947
134000 5.04436
135000 5.16743
136000 5.12039
137000 5.19957
138000 4.78038
139000 4.80632
140000 4.97468
141000 4.81826
142000 4.7484
143000 4.72413
144000 4.56577
145000 4.67815
146000 4.90613
147000 4.84715
148000 4.92925
149000 5.05487
150000 5.15875
151000 4.92066
152000 4.79649
153000 4.94554
154000 4.88493
155000 4.84052
156000 4.99147
157000 5.18675
158000 5.05821
159000 5.14198
160000 5.20884
161000 5.13685
162000 5.33204
163000 5.01253
164000 4.71491
165000 4.59282
166000 4.73501
167000 4.79863
