# Time-averaged data for fix z
# TimeStep c_z
0 20.1225
1000 16.9238
2000 15.495
3000 14.9786
4000 14.5323
5000 14.0288
6000 13.8354
7000 12.7098
8000 12.4179
9000 12.0026
10000 11.4617
11000 11.0311
12000 10.7139
13000 10.636
14000 10.6126
15000 9.60225
16000 9.17032
17000 9.05605
18000 8.74448
19000 7.9322
20000 6.3952
21000 4.87965
22000 4.9152
23000 5.0574
24000 5.2654
25000 5.47292
26000 5.27786
27000 3.83572
28000 3.04512
29000 2.53351
30000 1.28361
31000 1.58745
32000 2.51213
33000 0.954954
34000 2.26966
35000 3.3619
36000 2.23765
37000 1.73958
38000 2.06737
39000 1.53989
40000 1.0585
41000 0.97376
42000 2.96114
43000 2.61986
44000 3.09853
45000 3.23978
46000 3.05246
47000 3.21772
48000 2.89345
49000 2.80786
50000 1.46155
51000 1.99545
52000 2.39853
53000 1.72843
54000 1.48363
55000 1.54653
56000 2.19356
57000 2.45847
58000 1.4009
59000 1.42056
60000 2.98907
61000 3.331
62000 4.1725
63000 4.53371
64000 3.29838
65000 2.25187
66000 1.39266
67000 0.90377
68000 1.32832
69000 2.14935
70000 2.55687
71000 3.67325
72000 2.97561
73000 3.73539
74000 4.52995
75000 3.43594
76000 3.28839
77000 3.85419
78000 4.43251
79000 3.53378
80000 2.99045
81000 4.27483
82000 3.23984
83000 3.17794
84000 3.2902
85000 2.39775
86000 2.60089
87000 1.12585
88000 0.91403
89000 1.68151
90000 1.86704
91000 2.35188
92000 2.87501
93000 1.4008
94000 2.61103
95000 3.07155
96000 1.93371
97000 1.75385
98000 1.61576
99000 1.89924
100000 2.37923
101000 2.2076
102000 3.265
103000 3.19551
104000 1.18824
105000 3.13632
106000 2.05008
107000 3.0612
108000 2.12448
109000 1.89598
110000 2.05054
111000 3.07047
112000 3.24834
113000 3.34596
114000 3.22935
115000 3.12174
116000 1.11524
117000 1.72738
118000 2.71775
119000 2.05473
120000 1.38741
121000 1.7778
122000 2.56729
123000 2.60657
124000 3.8235
125000 2.51156
126000 2.32122
127000 2.9248
128000 1.58661
129000 2.22942
130000 2.56353
131000 2.28917
132000 2.62627
133000 2.54165
134000 3.36242
135000 3.76004
136000 3.22125
137000 3.11499
138000 1.90959
139000 2.23727
140000 3.01357
141000 3.10185
142000 4.42412
143000 4.01661
144000 3.77481
145000 3.11823
146000 3.46294
147000 3.10777
148000 1.89327
149000 2.67486
150000 3.74403
151000 3.78335
152000 4.29909
153000 4.67673
154000 4.81862
155000 4.90779
156000 6.14449
157000 5.78755
158000 4.26601
159000 4.66716
160000 4.52261
161000 3.99742
162000 4.42999
163000 3.46271
164000 3.55678
165000 2.7697
166000 3.54126
167000 3.30701
168000 2.97083
169000 2.49131
170000 2.08306
171000 1.4926
172000 1.10667
173000 2.89595
174000 2.03739
175000 0.960551
176000 1.87954
177000 1.51373
178000 1.15068
179000 1.22684
180000 3.41799
181000 1.06174
182000 1.60974
183000 1.65678
184000 1.7387
185000 3.02438
186000 3.49357
187000 1.65375
188000 1.89603
189000 2.31841
190000 1.84041
191000 3.16307
192000 2.76846
193000 3.2746
194000 2.62677
195000 3.14595
196000 3.7135
197000 2.88559
198000 2.54776
199000 2.68052
200000 2.9385
201000 1.36602
202000 1.92283
203000 3.02235
204000 3.20577
205000 2.24533
206000 2.47166
207000 1.95061
208000 1.06446
209000 2.96068
210000 4.07723
211000 3.3735
212000 1.82997
213000 1.48107
214000 1.59424
215000 2.13961
216000 2.96292
217000 1.39129
218000 2.23067
219000 1.07898
220000 2.48155
221000 1.15351
222000 1.32299
223000 1.63306
224000 1.78199
225000 1.86582
226000 2.38773
227000 3.34172
228000 1.67438
229000 1.59136
230000 1.81857
231000 2.38432
232000 1.59035
233000 2.01364
234000 1.76377
235000 1.98776
236000 1.21895
237000 1.99377
238000 1.92394
239000 1.18153
240000 2.85132
241000 2.47245
242000 2.13572
243000 1.69709
244000 1.31353
245000 2.5401
246000 0.877736
247000 1.44036
248000 1.07141
249000 1.7797
250000 2.33993
251000 3.07363
252000 3.0524
253000 2.20849
254000 2.0469
255000 1.72482
256000 0.936916
257000 0.891085
258000 2.04009
259000 2.89197
260000 3.58239
261000 4.2885
262000 4.78514
263000 3.04805
264000 3.36147
265000 2.77832
266000 2.57538
267000 1.48787
268000 1.78984
269000 2.96877
270000 3.75745
271000 1.70151
272000 3.37964
273000 2.52151
274000 2.83986
275000 2.71156
276000 2.3831
277000 1.7724
278000 2.02837
279000 3.86631
