# Histogrammed data for fix 9b
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.8e+07 0 0.755328 24.2054
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 50 2.77778e-06
5 0.9 16328 0.000907111
6 1.1 45547 0.00253039
7 1.3 55312 0.00307289
8 1.5 67926 0.00377367
9 1.7 686959 0.0381644
10 1.9 115198 0.00639989
11 2.1 151208 0.00840044
12 2.3 203210 0.0112894
13 2.5 283907 0.0157726
14 2.7 241357 0.0134087
15 2.9 209854 0.0116586
16 3.1 231540 0.0128633
17 3.3 248372 0.0137984
18 3.5 247473 0.0137485
19 3.7 230168 0.0127871
20 3.9 235508 0.0130838
21 4.1 241887 0.0134382
22 4.3 242567 0.0134759
23 4.5 237567 0.0131982
24 4.7 237368 0.0131871
25 4.9 240931 0.0133851
26 5.1 240346 0.0133526
27 5.3 239382 0.013299
28 5.5 237652 0.0132029
29 5.7 240116 0.0133398
30 5.9 239709 0.0133172
31 6.1 237642 0.0132023
32 6.3 238199 0.0132333
33 6.5 238011 0.0132228
34 6.7 237342 0.0131857
35 6.9 236651 0.0131473
36 7.1 236181 0.0131212
37 7.3 235494 0.013083
38 7.5 236437 0.0131354
39 7.7 234448 0.0130249
40 7.9 234319 0.0130177
41 8.1 233379 0.0129655
42 8.3 232206 0.0129003
43 8.5 231845 0.0128803
44 8.7 230938 0.0128299
45 8.9 230421 0.0128012
46 9.1 229535 0.0127519
47 9.3 228924 0.012718
48 9.5 228155 0.0126753
49 9.7 227384 0.0126324
50 9.9 226271 0.0125706
51 10.1 224802 0.012489
52 10.3 223813 0.0124341
53 10.5 223051 0.0123917
54 10.7 222120 0.01234
55 10.9 220887 0.0122715
56 11.1 219562 0.0121979
57 11.3 217684 0.0120936
58 11.5 216156 0.0120087
59 11.7 215451 0.0119695
60 11.9 212834 0.0118241
61 12.1 211486 0.0117492
62 12.3 210356 0.0116864
63 12.5 208302 0.0115723
64 12.7 206624 0.0114791
65 12.9 203512 0.0113062
66 13.1 202971 0.0112762
67 13.3 200124 0.011118
68 13.5 197441 0.0109689
69 13.7 195034 0.0108352
70 13.9 191967 0.0106648
71 14.1 188906 0.0104948
72 14.3 186161 0.0103423
73 14.5 182473 0.0101374
74 14.7 179931 0.00999617
75 14.9 176386 0.00979922
76 15.1 172811 0.00960061
77 15.3 168438 0.00935767
78 15.5 165478 0.00919322
79 15.7 159943 0.00888572
80 15.9 155325 0.00862917
81 16.1 149854 0.00832522
82 16.3 144915 0.00805083
83 16.5 138638 0.00770211
84 16.7 132862 0.00738122
85 16.9 126092 0.00700511
86 17.1 118902 0.00660567
87 17.3 111457 0.00619206
88 17.5 103334 0.00574078
89 17.7 95642 0.00531344
90 17.9 86900 0.00482778
91 18.1 79030 0.00439056
92 18.3 70343 0.00390794
93 18.5 62718 0.00348433
94 18.7 54064 0.00300356
95 18.9 46095 0.00256083
96 19.1 39394 0.00218856
97 19.3 32649 0.00181383
98 19.5 27043 0.00150239
99 19.7 21290 0.00118278
100 19.9 17101 0.000950056
101 20.1 13263 0.000736833
102 20.3 10365 0.000575833
103 20.5 7809 0.000433833
104 20.7 5678 0.000315444
105 20.9 4106 0.000228111
106 21.1 2990 0.000166111
107 21.3 2156 0.000119778
108 21.5 1374 7.63333e-05
109 21.7 986 5.47778e-05
110 21.9 619 3.43889e-05
111 22.1 411 2.28333e-05
112 22.3 290 1.61111e-05
113 22.5 163 9.05556e-06
114 22.7 104 5.77778e-06
115 22.9 46 2.55556e-06
116 23.1 32 1.77778e-06
117 23.3 12 6.66667e-07
118 23.5 11 6.11111e-07
119 23.7 5 2.77778e-07
120 23.9 2 1.11111e-07
121 24.1 1 5.55556e-08
122 24.3 1 5.55556e-08
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
