# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 600000 0 0.769623 24.2054
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 1 1.66667e-06
5 0.9 277 0.000461667
6 1.1 601 0.00100167
7 1.3 480 0.0008
8 1.5 392 0.000653333
9 1.7 389 0.000648333
10 1.9 408 0.00068
11 2.1 465 0.000775
12 2.3 512 0.000853333
13 2.5 624 0.00104
14 2.7 718 0.00119667
15 2.9 781 0.00130167
16 3.1 820 0.00136667
17 3.3 818 0.00136333
18 3.5 835 0.00139167
19 3.7 967 0.00161167
20 3.9 902 0.00150333
21 4.1 1005 0.001675
22 4.3 980 0.00163333
23 4.5 1056 0.00176
24 4.7 1025 0.00170833
25 4.9 1080 0.0018
26 5.1 1085 0.00180833
27 5.3 1130 0.00188333
28 5.5 1201 0.00200167
29 5.7 1250 0.00208333
30 5.9 1257 0.002095
31 6.1 1328 0.00221333
32 6.3 1530 0.00255
33 6.5 1627 0.00271167
34 6.7 1619 0.00269833
35 6.9 1745 0.00290833
36 7.1 1830 0.00305
37 7.3 1975 0.00329167
38 7.5 2058 0.00343
39 7.7 2206 0.00367667
40 7.9 2355 0.003925
41 8.1 2392 0.00398667
42 8.3 2528 0.00421333
43 8.5 2740 0.00456667
44 8.7 2893 0.00482167
45 8.9 2991 0.004985
46 9.1 3158 0.00526333
47 9.3 3337 0.00556167
48 9.5 3417 0.005695
49 9.7 3577 0.00596167
50 9.9 3788 0.00631333
51 10.1 3972 0.00662
52 10.3 4263 0.007105
53 10.5 4386 0.00731
54 10.7 4494 0.00749
55 10.9 4805 0.00800833
56 11.1 5077 0.00846167
57 11.3 5261 0.00876833
58 11.5 5417 0.00902833
59 11.7 5764 0.00960667
60 11.9 5816 0.00969333
61 12.1 6206 0.0103433
62 12.3 6619 0.0110317
63 12.5 6863 0.0114383
64 12.7 7143 0.011905
65 12.9 7219 0.0120317
66 13.1 7837 0.0130617
67 13.3 7996 0.0133267
68 13.5 8426 0.0140433
69 13.7 8818 0.0146967
70 13.9 9033 0.015055
71 14.1 9376 0.0156267
72 14.3 10005 0.016675
73 14.5 10300 0.0171667
74 14.7 10873 0.0181217
75 14.9 11276 0.0187933
76 15.1 11681 0.0194683
77 15.3 12342 0.02057
78 15.5 12741 0.021235
79 15.7 13052 0.0217533
80 15.9 13708 0.0228467
81 16.1 14147 0.0235783
82 16.3 14591 0.0243183
83 16.5 15113 0.0251883
84 16.7 15475 0.0257917
85 16.9 15675 0.026125
86 17.1 15887 0.0264783
87 17.3 16007 0.0266783
88 17.5 15857 0.0264283
89 17.7 15922 0.0265367
90 17.9 15587 0.0259783
91 18.1 15528 0.02588
92 18.3 14591 0.0243183
93 18.5 13965 0.023275
94 18.7 13074 0.02179
95 18.9 11795 0.0196583
96 19.1 10987 0.0183117
97 19.3 9873 0.016455
98 19.5 8586 0.01431
99 19.7 7288 0.0121467
100 19.9 6206 0.0103433
101 20.1 5241 0.008735
102 20.3 4363 0.00727167
103 20.5 3445 0.00574167
104 20.7 2607 0.004345
105 20.9 2015 0.00335833
106 21.1 1536 0.00256
107 21.3 1163 0.00193833
108 21.5 813 0.001355
109 21.7 604 0.00100667
110 21.9 396 0.00066
111 22.1 253 0.000421667
112 22.3 212 0.000353333
113 22.5 111 0.000185
114 22.7 84 0.00014
115 22.9 33 5.5e-05
116 23.1 23 3.83333e-05
117 23.3 9 1.5e-05
118 23.5 8 1.33333e-05
119 23.7 4 6.66667e-06
120 23.9 2 3.33333e-06
121 24.1 1 1.66667e-06
122 24.3 1 1.66667e-06
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
