# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
2000000 200 6.96e+06 0 0.761472 23.8515
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 21 3.01724e-06
5 0.9 6543 0.000940086
6 1.1 18239 0.00262055
7 1.3 22360 0.00321264
8 1.5 27424 0.00394023
9 1.7 35060 0.00503736
10 1.9 45849 0.0065875
11 2.1 60745 0.00872773
12 2.3 81116 0.0116546
13 2.5 113357 0.0162869
14 2.7 96617 0.0138818
15 2.9 84206 0.0120986
16 3.1 92148 0.0132397
17 3.3 99016 0.0142264
18 3.5 98887 0.0142079
19 3.7 92294 0.0132606
20 3.9 94550 0.0135848
21 4.1 96923 0.0139257
22 4.3 96988 0.0139351
23 4.5 95056 0.0136575
24 4.7 95192 0.013677
25 4.9 96362 0.0138451
26 5.1 96098 0.0138072
27 5.3 95333 0.0136973
28 5.5 95475 0.0137177
29 5.7 95868 0.0137741
30 5.9 95668 0.0137454
31 6.1 95119 0.0136665
32 6.3 95066 0.0136589
33 6.5 94591 0.0135907
34 6.7 94803 0.0136211
35 6.9 94688 0.0136046
36 7.1 94495 0.0135769
37 7.3 94572 0.0135879
38 7.5 94044 0.0135121
39 7.7 94011 0.0135073
40 7.9 93913 0.0134932
41 8.1 93373 0.0134157
42 8.3 93262 0.0133997
43 8.5 93389 0.013418
44 8.7 92464 0.0132851
45 8.9 92319 0.0132642
46 9.1 92140 0.0132385
47 9.3 91901 0.0132042
48 9.5 91628 0.0131649
49 9.7 91074 0.0130853
50 9.9 90506 0.0130037
51 10.1 90798 0.0130457
52 10.3 90095 0.0129447
53 10.5 89850 0.0129095
54 10.7 89032 0.012792
55 10.9 88612 0.0127316
56 11.1 88173 0.0126685
57 11.3 87264 0.0125379
58 11.5 87230 0.012533
59 11.7 86534 0.012433
60 11.9 86262 0.012394
61 12.1 85187 0.0122395
62 12.3 84591 0.0121539
63 12.5 83060 0.0119339
64 12.7 82967 0.0119205
65 12.9 82147 0.0118027
66 13.1 80306 0.0115382
67 13.3 80040 0.0115
68 13.5 79149 0.011372
69 13.7 77923 0.0111958
70 13.9 77112 0.0110793
71 14.1 76015 0.0109217
72 14.3 74982 0.0107733
73 14.5 73215 0.0105194
74 14.7 72206 0.0103744
75 14.9 70496 0.0101287
76 15.1 69408 0.00997241
77 15.3 67426 0.00968764
78 15.5 65533 0.00941566
79 15.7 63949 0.00918807
80 15.9 61589 0.00884899
81 16.1 60011 0.00862227
82 16.3 57084 0.00820172
83 16.5 55068 0.00791207
84 16.7 52590 0.00755603
85 16.9 50216 0.00721494
86 17.1 47099 0.0067671
87 17.3 44095 0.00633549
88 17.5 41170 0.00591523
89 17.7 37778 0.00542787
90 17.9 34055 0.00489296
91 18.1 30877 0.00443635
92 18.3 27660 0.00397414
93 18.5 24247 0.00348376
94 18.7 21138 0.00303707
95 18.9 18359 0.00263779
96 19.1 15299 0.00219813
97 19.3 12610 0.00181178
98 19.5 10318 0.00148247
99 19.7 8360 0.00120115
100 19.9 6681 0.000959914
101 20.1 5182 0.00074454
102 20.3 4012 0.000576437
103 20.5 2979 0.000428017
104 20.7 2226 0.000319828
105 20.9 1607 0.000230891
106 21.1 1142 0.00016408
107 21.3 768 0.000110345
108 21.5 502 7.21264e-05
109 21.7 372 5.34483e-05
110 21.9 224 3.21839e-05
111 22.1 148 2.12644e-05
112 22.3 106 1.52299e-05
113 22.5 50 7.18391e-06
114 22.7 24 3.44828e-06
115 22.9 19 2.72989e-06
116 23.1 12 1.72414e-06
117 23.3 3 4.31034e-07
118 23.5 2 2.87356e-07
119 23.7 2 2.87356e-07
120 23.9 1 1.43678e-07
121 24.1 0 0
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
