# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
2000000 200 240000 0 0.772533 23.8515
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 2 8.33333e-06
5 0.9 79 0.000329167
6 1.1 180 0.00075
7 1.3 139 0.000579167
8 1.5 125 0.000520833
9 1.7 145 0.000604167
10 1.9 131 0.000545833
11 2.1 146 0.000608333
12 2.3 173 0.000720833
13 2.5 220 0.000916667
14 2.7 232 0.000966667
15 2.9 290 0.00120833
16 3.1 323 0.00134583
17 3.3 289 0.00120417
18 3.5 364 0.00151667
19 3.7 324 0.00135
20 3.9 402 0.001675
21 4.1 392 0.00163333
22 4.3 409 0.00170417
23 4.5 443 0.00184583
24 4.7 432 0.0018
25 4.9 424 0.00176667
26 5.1 429 0.0017875
27 5.3 472 0.00196667
28 5.5 532 0.00221667
29 5.7 533 0.00222083
30 5.9 574 0.00239167
31 6.1 591 0.0024625
32 6.3 619 0.00257917
33 6.5 674 0.00280833
34 6.7 677 0.00282083
35 6.9 720 0.003
36 7.1 751 0.00312917
37 7.3 791 0.00329583
38 7.5 793 0.00330417
39 7.7 906 0.003775
40 7.9 909 0.0037875
41 8.1 942 0.003925
42 8.3 1038 0.004325
43 8.5 1052 0.00438333
44 8.7 1065 0.0044375
45 8.9 1176 0.0049
46 9.1 1202 0.00500833
47 9.3 1253 0.00522083
48 9.5 1334 0.00555833
49 9.7 1332 0.00555
50 9.9 1431 0.0059625
51 10.1 1470 0.006125
52 10.3 1563 0.0065125
53 10.5 1698 0.007075
54 10.7 1769 0.00737083
55 10.9 1873 0.00780417
56 11.1 1988 0.00828333
57 11.3 2019 0.0084125
58 11.5 2199 0.0091625
59 11.7 2297 0.00957083
60 11.9 2339 0.00974583
61 12.1 2515 0.0104792
62 12.3 2691 0.0112125
63 12.5 2787 0.0116125
64 12.7 2987 0.0124458
65 12.9 3032 0.0126333
66 13.1 3216 0.0134
67 13.3 3390 0.014125
68 13.5 3540 0.01475
69 13.7 3668 0.0152833
70 13.9 3690 0.015375
71 14.1 3967 0.0165292
72 14.3 4230 0.017625
73 14.5 4139 0.0172458
74 14.7 4440 0.0185
75 14.9 4688 0.0195333
76 15.1 4869 0.0202875
77 15.3 5020 0.0209167
78 15.5 5212 0.0217167
79 15.7 5258 0.0219083
80 15.9 5549 0.0231208
81 16.1 5765 0.0240208
82 16.3 5763 0.0240125
83 16.5 5999 0.0249958
84 16.7 6196 0.0258167
85 16.9 6236 0.0259833
86 17.1 6340 0.0264167
87 17.3 6510 0.027125
88 17.5 6423 0.0267625
89 17.7 6315 0.0263125
90 17.9 6060 0.02525
91 18.1 5892 0.02455
92 18.3 5800 0.0241667
93 18.5 5518 0.0229917
94 18.7 5158 0.0214917
95 18.9 4921 0.0205042
96 19.1 4272 0.0178
97 19.3 3745 0.0156042
98 19.5 3240 0.0135
99 19.7 2918 0.0121583
100 19.9 2445 0.0101875
101 20.1 2078 0.00865833
102 20.3 1707 0.0071125
103 20.5 1268 0.00528333
104 20.7 1094 0.00455833
105 20.9 782 0.00325833
106 21.1 640 0.00266667
107 21.3 441 0.0018375
108 21.5 292 0.00121667
109 21.7 219 0.0009125
110 21.9 134 0.000558333
111 22.1 100 0.000416667
112 22.3 82 0.000341667
113 22.5 35 0.000145833
114 22.7 18 7.5e-05
115 22.9 14 5.83333e-05
116 23.1 9 3.75e-05
117 23.3 3 1.25e-05
118 23.5 2 8.33333e-06
119 23.7 2 8.33333e-06
120 23.9 1 4.16667e-06
121 24.1 0 0
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
