# Time-averaged data for fix 4
# TimeStep c_1 v_dist v_fz
0 35.9037 -0.0962559 -0.48128
1000 35.5635 -0.436547 -2.18274
2000 36.3249 0.324921 1.62461
3000 35.7959 -0.204079 -1.0204
4000 36.3321 0.332055 1.66028
5000 37.3098 1.30984 6.54922
6000 36.9204 0.920368 4.60184
7000 35.5926 -0.407411 -2.03705
8000 36.4167 0.41672 2.0836
9000 35.671 -0.328965 -1.64482
10000 36.6085 0.608485 3.04242
11000 36.3314 0.331387 1.65693
12000 35.7099 -0.290051 -1.45025
13000 36.3009 0.300877 1.50438
14000 36.334 0.334035 1.67017
15000 35.7146 -0.285352 -1.42676
16000 36.244 0.244019 1.2201
17000 36.7269 0.726878 3.63439
18000 36.0603 0.060303 0.301515
19000 35.7824 -0.217612 -1.08806
20000 36.3079 0.307921 1.53961
21000 35.6098 -0.390155 -1.95077
22000 35.3121 -0.687942 -3.43971
23000 34.6091 -1.39092 -6.95462
24000 35.6166 -0.383389 -1.91694
25000 36.318 0.31799 1.58995
26000 36.3128 0.312847 1.56424
27000 35.7952 -0.204759 -1.02379
28000 36.1154 0.115435 0.577175
29000 36.6759 0.675919 3.37959
30000 36.2791 0.279128 1.39564
31000 35.4442 -0.555759 -2.7788
32000 36.1534 0.153368 0.766842
33000 36.456 0.455967 2.27983
34000 35.856 -0.144025 -0.720125
35000 36.3924 0.392392 1.96196
36000 36.334 0.333963 1.66982
37000 35.7448 -0.255182 -1.27591
38000 35.4101 -0.589896 -2.94948
39000 36.3262 0.326168 1.63084
40000 36.9142 0.914155 4.57077
41000 35.702 -0.298046 -1.49023
42000 35.2553 -0.744654 -3.72327
43000 36.1378 0.137813 0.689064
44000 36.2961 0.296114 1.48057
45000 36.6413 0.641273 3.20636
46000 36.9752 0.975201 4.87601
47000 35.8243 -0.175663 -0.878315
48000 35.2696 -0.73038 -3.6519
49000 35.5544 -0.445638 -2.22819
50000 35.8316 -0.168407 -0.842033
51000 36.5677 0.567717 2.83859
52000 35.3479 -0.652063 -3.26032
53000 36.1936 0.193636 0.968179
54000 36.4086 0.40858 2.0429
55000 36.2305 0.230456 1.15228
56000 36.4935 0.493473 2.46736
57000 35.7314 -0.268609 -1.34304
58000 36.076 0.075974 0.37987
59000 35.4239 -0.576126 -2.88063
60000 35.7698 -0.230218 -1.15109
61000 35.7992 -0.20077 -1.00385
62000 35.6972 -0.302771 -1.51385
63000 36.2458 0.245844 1.22922
64000 35.3785 -0.621492 -3.10746
65000 35.7052 -0.294849 -1.47424
66000 35.5246 -0.475365 -2.37682
67000 36.1072 0.10725 0.536249
68000 36.2368 0.236827 1.18413
69000 35.8937 -0.106317 -0.531587
70000 36.1125 0.112501 0.562505
71000 35.7434 -0.256552 -1.28276
72000 35.744 -0.255995 -1.27997
73000 36.3142 0.314165 1.57083
74000 36.3902 0.390192 1.95096
75000 36.1087 0.108695 0.543477
76000 36.2008 0.200812 1.00406
77000 35.8991 -0.100863 -0.504315
78000 36.0072 0.00715424 0.0357712
79000 35.5878 -0.412193 -2.06097
80000 36.1997 0.199686 0.998431
81000 35.259 -0.741016 -3.70508
82000 35.9796 -0.0204452 -0.102226
83000 36.9393 0.939301 4.6965
84000 36.231 0.230998 1.15499
85000 35.3155 -0.684487 -3.42244
86000 36.632 0.632 3.16
87000 35.3555 -0.6445 -3.2225
88000 36.2128 0.212751 1.06375
89000 36.128 0.127979 0.639896
90000 35.8355 -0.164464 -0.822318
91000 35.5645 -0.435514 -2.17757
92000 36.0283 0.0282963 0.141481
93000 35.6133 -0.386719 -1.93359
94000 36.3062 0.306219 1.5311
95000 36.7147 0.714708 3.57354
96000 36.1881 0.188069 0.940343
97000 37.0122 1.01219 5.06094
98000 35.8775 -0.122468 -0.612339
99000 35.9297 -0.0702786 -0.351393
100000 36.1502 0.150183 0.750916
101000 35.7902 -0.209837 -1.04919
102000 35.19 -0.810024 -4.05012
103000 36.7227 0.722715 3.61358
104000 36.1429 0.142862 0.714309
105000 35.6206 -0.379428 -1.89714
106000 35.524 -0.476047 -2.38024
107000 36.0649 0.0648857 0.324429
108000 35.6919 -0.308057 -1.54029
109000 35.5038 -0.496201 -2.48101
110000 36.2095 0.209453 1.04727
111000 35.5392 -0.460787 -2.30393
112000 36.1394 0.139445 0.697225
113000 35.6174 -0.382628 -1.91314
114000 35.8516 -0.148352 -0.741759
115000 35.6141 -0.385866 -1.92933
116000 35.2695 -0.730499 -3.65249
117000 36.036 0.0359644 0.179822
118000 36.3828 0.382846 1.91423
119000 35.3527 -0.647339 -3.2367
120000 35.7178 -0.282234 -1.41117
121000 35.4949 -0.505133 -2.52566
122000 36.3949 0.39492 1.9746
123000 35.8255 -0.174543 -0.872715
124000 35.8165 -0.183504 -0.91752
125000 35.6059 -0.394123 -1.97062
126000 35.8463 -0.15369 -0.768448
127000 35.8205 -0.179535 -0.897677
128000 36.059 0.058951 0.294755
129000 35.4796 -0.520379 -2.60189
130000 35.9335 -0.0665331 -0.332666
131000 35.8371 -0.162873 -0.814367
132000 35.7496 -0.250415 -1.25207
133000 35.3379 -0.662097 -3.31049
134000 35.9525 -0.0474682 -0.237341
135000 36.1459 0.145946 0.72973
136000 35.4963 -0.503673 -2.51837
137000 36.7023 0.702252 3.51126
138000 35.8633 -0.136669 -0.683344
139000 36.4664 0.466384 2.33192
140000 36.5694 0.569407 2.84703
141000 35.3469 -0.653079 -3.2654
142000 35.5664 -0.433613 -2.16806
143000 35.7451 -0.254901 -1.2745
144000 36.0003 0.000323375 0.00161688
145000 36.7677 0.767727 3.83864
146000 35.466 -0.534038 -2.67019
147000 36.9707 0.970667 4.85333
148000 36.4253 0.425294 2.12647
149000 34.9641 -1.03585 -5.17926
150000 35.8785 -0.121529 -0.607644
151000 36.4932 0.493247 2.46624
152000 35.7422 -0.257829 -1.28914
153000 37.0562 1.05622 5.28108
154000 35.8616 -0.138353 -0.691763
155000 34.946 -1.05404 -5.27019
156000 36.0916 0.0916315 0.458157
157000 36.7802 0.7802 3.901
158000 35.3513 -0.648651 -3.24325
159000 35.3469 -0.653053 -3.26527
160000 34.9509 -1.04912 -5.24558
161000 35.3496 -0.650432 -3.25216
162000 37.251 1.25103 6.25515
163000 35.9036 -0.0963827 -0.481913
164000 36.1706 0.170622 0.85311
165000 34.9191 -1.08093 -5.40463
166000 36.4548 0.454848 2.27424
167000 35.2683 -0.731726 -3.65863
168000 36.5631 0.563126 2.81563
169000 35.6302 -0.369848 -1.84924
170000 35.6543 -0.345678 -1.72839
171000 36.6658 0.665849 3.32925
172000 36.4271 0.42709 2.13545
173000 36.0818 0.0817937 0.408969
174000 35.9478 -0.0521909 -0.260955
175000 36.1895 0.189537 0.947685
176000 35.3667 -0.633259 -3.16629
177000 35.8435 -0.156462 -0.782308
178000 36.1344 0.134433 0.672166
179000 35.8445 -0.155459 -0.777294
180000 34.9483 -1.05171 -5.25854
181000 35.7423 -0.257663 -1.28832
182000 36.8659 0.865943 4.32972
183000 35.8418 -0.158169 -0.790847
184000 36.521 0.520954 2.60477
185000 36.4705 0.470518 2.35259
186000 35.758 -0.241974 -1.20987
187000 34.9622 -1.03777 -5.18884
188000 35.6929 -0.307095 -1.53548
189000 36.9719 0.971935 4.85968
190000 36.2083 0.208334 1.04167
191000 35.6414 -0.358636 -1.79318
192000 36.3478 0.34783 1.73915
193000 36.9793 0.979286 4.89643
194000 36.7428 0.742828 3.71414
195000 35.4313 -0.56872 -2.8436
196000 36.092 0.0920218 0.460109
197000 35.5165 -0.483481 -2.41741
198000 35.338 -0.662022 -3.31011
199000 36.1807 0.180682 0.903409
200000 35.6776 -0.322408 -1.61204
201000 36.3209 0.320935 1.60467
202000 36.0549 0.054912 0.27456
203000 35.7707 -0.229294 -1.14647
204000 36.3192 0.319184 1.59592
205000 36.0376 0.0376187 0.188094
206000 36.3189 0.31887 1.59435
207000 36.3737 0.373684 1.86842
208000 36.0038 0.00382492 0.0191246
209000 36.631 0.631033 3.15517
210000 36.5841 0.584051 2.92025
