# Time-averaged data for fix 4
# TimeStep c_1 v_dist v_fz
0 14.6835 1.68346 8.41729
1000 14.3067 1.30673 6.53364
2000 13.8796 0.879578 4.39789
3000 14.042 1.04205 5.21025
4000 14.2151 1.21508 6.07539
5000 13.7271 0.727126 3.63563
6000 13.7932 0.793234 3.96617
7000 13.7345 0.734502 3.67251
8000 13.6827 0.682722 3.41361
9000 13.5584 0.55841 2.79205
10000 13.7723 0.772327 3.86164
11000 13.8628 0.862755 4.31377
12000 13.3883 0.388267 1.94133
13000 13.8724 0.872396 4.36198
14000 14.4076 1.40758 7.03789
15000 13.2191 0.219146 1.09573
16000 13.2485 0.248499 1.24249
17000 13.8272 0.82715 4.13575
18000 14.3031 1.30314 6.51572
19000 14.0838 1.08376 5.41882
20000 13.7985 0.798518 3.99259
21000 14.1878 1.18785 5.93924
22000 14.1341 1.1341 5.67049
23000 14.0804 1.08045 5.40225
24000 13.8468 0.846842 4.23421
25000 13.5706 0.570648 2.85324
26000 13.7529 0.752893 3.76447
27000 13.9403 0.940271 4.70136
28000 13.2897 0.289719 1.44859
29000 14.0234 1.02338 5.1169
30000 13.9487 0.948655 4.74327
31000 13.6826 0.682576 3.41288
32000 13.6068 0.606809 3.03405
33000 13.9325 0.932547 4.66274
34000 13.7553 0.755263 3.77631
35000 13.5488 0.548848 2.74424
36000 14.1534 1.1534 5.76699
37000 13.5819 0.581935 2.90968
38000 13.7195 0.71952 3.5976
39000 13.5186 0.518613 2.59306
40000 13.4787 0.478658 2.39329
41000 12.5123 -0.487723 -2.43861
42000 13.8757 0.875719 4.37859
43000 13.6917 0.691653 3.45827
44000 13.0486 0.0486133 0.243067
45000 13.9587 0.958659 4.7933
46000 13.6997 0.699709 3.49855
47000 13.7256 0.725586 3.62793
48000 13.8922 0.892188 4.46094
49000 14.2467 1.24666 6.23328
50000 14.0169 1.01692 5.08459
51000 13.7433 0.743254 3.71627
52000 13.3502 0.350236 1.75118
53000 13.5714 0.571418 2.85709
54000 12.8718 -0.128188 -0.640938
55000 13.8529 0.852896 4.26448
56000 13.907 0.907043 4.53521
57000 13.4099 0.409874 2.04937
58000 13.3837 0.383743 1.91872
59000 13.0728 0.0727647 0.363823
60000 13.6264 0.626436 3.13218
61000 13.3733 0.373327 1.86664
62000 13.53 0.529962 2.64981
63000 13.7821 0.782128 3.91064
64000 13.641 0.640999 3.205
65000 14.2503 1.2503 6.25151
66000 13.7405 0.740461 3.7023
67000 14.046 1.04596 5.22982
68000 14.3278 1.32785 6.63924
69000 13.2655 0.26547 1.32735
70000 14.5483 1.54826 7.74132
71000 13.1434 0.143432 0.717162
72000 13.2709 0.270932 1.35466
73000 13.5782 0.578196 2.89098
74000 13.898 0.898024 4.49012
75000 13.6091 0.609106 3.04553
76000 13.7054 0.705425 3.52713
77000 13.5346 0.53456 2.6728
78000 13.7366 0.736616 3.68308
79000 13.5536 0.553638 2.76819
80000 13.3862 0.386227 1.93114
81000 14.0715 1.07155 5.35775
82000 13.4564 0.456393 2.28196
83000 13.4686 0.468625 2.34313
84000 13.3863 0.386345 1.93172
85000 13.7225 0.72255 3.61275
86000 13.5252 0.525153 2.62576
87000 14.7433 1.74332 8.71659
88000 14.3241 1.32413 6.62064
89000 13.326 0.326034 1.63017
90000 13.988 0.987999 4.94
91000 13.8763 0.876256 4.38128
92000 13.7613 0.761339 3.80669
93000 14.1376 1.13765 5.68824
94000 13.8852 0.88525 4.42625
95000 14.4896 1.48961 7.44806
96000 14.3333 1.33331 6.66656
97000 14.6516 1.65158 8.25789
98000 14.2669 1.26693 6.33465
99000 14.6802 1.68019 8.40094
100000 13.9686 0.96864 4.8432
101000 14.3507 1.35071 6.75355
102000 13.9491 0.949132 4.74566
103000 13.4533 0.453268 2.26634
104000 13.9022 0.902177 4.51088
105000 13.3391 0.33914 1.6957
106000 13.7302 0.73017 3.65085
107000 14.2504 1.25035 6.25176
108000 15.1576 2.15756 10.7878
109000 13.6468 0.646798 3.23399
110000 14.0567 1.05674 5.28368
111000 14.4708 1.47082 7.35412
112000 14.9391 1.93914 9.69568
113000 14.3065 1.30651 6.53255
114000 14.9313 1.93126 9.65629
115000 13.5659 0.565874 2.82937
116000 12.4584 -0.54156 -2.7078
117000 13.2833 0.283346 1.41673
118000 13.583 0.583004 2.91502
119000 13.8339 0.833882 4.16941
120000 13.5657 0.56571 2.82855
121000 13.5985 0.598532 2.99266
122000 14.1746 1.17464 5.87321
123000 14.0541 1.05408 5.27039
124000 13.9816 0.981565 4.90783
125000 13.9104 0.910444 4.55222
126000 14.7241 1.72406 8.62032
127000 14.4141 1.41407 7.07034
128000 13.2113 0.21127 1.05635
129000 13.7103 0.710321 3.5516
130000 13.4888 0.488756 2.44378
131000 13.0725 0.0724654 0.362327
132000 12.7974 -0.202578 -1.01289
133000 13.4688 0.468802 2.34401
134000 13.8608 0.860801 4.30401
135000 13.2237 0.223741 1.1187
136000 13.6258 0.625842 3.12921
137000 13.5751 0.575135 2.87568
138000 13.503 0.502982 2.51491
139000 13.6199 0.619861 3.0993
140000 13.2485 0.248512 1.24256
141000 13.2605 0.260542 1.30271
142000 13.1371 0.137094 0.685471
143000 13.6381 0.638054 3.19027
144000 12.1288 -0.871199 -4.356
145000 13.0872 0.087232 0.43616
146000 12.7028 -0.297207 -1.48603
147000 13.2404 0.240356 1.20178
148000 14.5457 1.54567 7.72834
149000 14.7093 1.70932 8.54658
150000 14.6634 1.66337 8.31686
151000 14.8253 1.82528 9.12638
152000 14.4891 1.48914 7.44572
153000 14.7625 1.7625 8.81249
154000 14.1478 1.14777 5.73886
155000 13.4783 0.478344 2.39172
156000 14.1298 1.12981 5.64907
157000 14.4633 1.46325 7.31626
158000 14.6556 1.6556 8.278
159000 14.2413 1.2413 6.20652
160000 12.6955 -0.304452 -1.52226
161000 13.6775 0.67746 3.3873
162000 13.7529 0.752865 3.76433
163000 14.1629 1.16295 5.81475
164000 13.2982 0.298224 1.49112
165000 13.0505 0.0505073 0.252536
166000 12.595 -0.404962 -2.02481
167000 13.5852 0.585199 2.92599
168000 13.7412 0.741222 3.70611
169000 13.5416 0.541552 2.70776
170000 13.8246 0.82462 4.1231
171000 14.184 1.18398 5.91989
172000 13.116 0.115982 0.579911
173000 13.7039 0.70387 3.51935
174000 12.2255 -0.77448 -3.8724
175000 12.6517 -0.348327 -1.74163
176000 13.3613 0.361343 1.80671
177000 13.3993 0.399262 1.99631
178000 13.5863 0.586297 2.93148
179000 12.8334 -0.166634 -0.83317
180000 13.4174 0.417409 2.08705
181000 13.5568 0.556811 2.78406
182000 14 0.999982 4.99991
183000 13.4624 0.462419 2.31209
184000 14.4755 1.47548 7.3774
185000 13.9073 0.907334 4.53667
186000 14.0086 1.00861 5.04303
187000 13.377 0.376975 1.88488
188000 13.428 0.428045 2.14022
189000 13.6451 0.645059 3.22529
190000 13.8659 0.865902 4.32951
191000 14.0888 1.08878 5.4439
192000 14.1232 1.12324 5.61622
193000 13.9009 0.900949 4.50475
194000 13.4953 0.495302 2.47651
195000 14.0323 1.03227 5.16134
196000 13.3521 0.352141 1.76071
197000 14.6028 1.60276 8.01378
198000 14.3006 1.30056 6.50282
199000 13.9678 0.967818 4.83909
200000 14.8351 1.83509 9.17543
201000 14.2973 1.29727 6.48636
202000 14.2801 1.28013 6.40063
203000 14.9975 1.99752 9.98759
204000 14.3432 1.34319 6.71597
205000 14.4997 1.49968 7.49839
206000 14.6259 1.62587 8.12934
207000 14.3336 1.33357 6.66786
208000 13.8992 0.899179 4.4959
209000 14.1947 1.19471 5.97356
210000 14.7013 1.70135 8.50673
211000 13.8991 0.899053 4.49527
212000 13.5219 0.521881 2.6094
213000 13.5752 0.575187 2.87593
214000 13.7121 0.712053 3.56027
215000 14.0068 1.00681 5.03405
216000 14.7488 1.74883 8.74416
217000 14.5957 1.59575 7.97873
218000 13.5772 0.577183 2.88591
219000 14.6711 1.67106 8.35532
220000 14.1985 1.19851 5.99255
221000 13.7324 0.732357 3.66178
222000 14.1926 1.19258 5.96292
223000 13.505 0.505033 2.52516
224000 13.9224 0.922437 4.61219
225000 14.3003 1.30033 6.50165
226000 14.1028 1.10281 5.51403
227000 15.1316 2.13157 10.6579
228000 15.3563 2.35632 11.7816
229000 14.3419 1.34191 6.70954
230000 14.4028 1.40285 7.01425
231000 13.919 0.91903 4.59515
232000 14.9571 1.9571 9.78552
233000 15.1305 2.13055 10.6527
234000 14.1867 1.18668 5.93339
235000 14.3531 1.35307 6.76534
236000 14.6493 1.64926 8.24629
237000 14.6468 1.64679 8.23396
238000 14.1558 1.15583 5.77916
239000 12.9484 -0.0515773 -0.257887
240000 12.5537 -0.446348 -2.23174
241000 13.0384 0.0384029 0.192014
242000 13.7103 0.710303 3.55152
243000 14.1501 1.15006 5.75031
244000 14.3245 1.32449 6.62247
245000 14.1678 1.16779 5.83897
246000 13.4933 0.493317 2.46658
247000 14.4935 1.49351 7.46756
248000 14.0767 1.07669 5.38347
249000 13.9517 0.951717 4.75859
250000 14.2559 1.25593 6.27963
251000 13.7043 0.704286 3.52143
252000 12.4009 -0.599082 -2.99541
253000 12.3727 -0.627273 -3.13637
254000 12.191 -0.809011 -4.04506
255000 13.5909 0.590859 2.95429
256000 13.2454 0.245364 1.22682
257000 14.156 1.15599 5.77994
258000 13.6593 0.659254 3.29627
259000 13.3992 0.399152 1.99576
260000 13.748 0.747979 3.73989
261000 14.0477 1.04765 5.23826
262000 13.668 0.667999 3.33999
263000 13.8776 0.877555 4.38777
264000 13.5448 0.544836 2.72418
265000 13.2003 0.200327 1.00164
266000 13.0121 0.0121166 0.0605831
267000 13.1667 0.166747 0.833734
268000 12.9417 -0.0582642 -0.291321
269000 13.4058 0.405765 2.02883
270000 14.325 1.32503 6.62514
271000 13.7385 0.738465 3.69233
272000 13.4011 0.401074 2.00537
273000 13.4867 0.486664 2.43332
274000 14.317 1.31698 6.58488
275000 13.7277 0.727659 3.63829
276000 14.4914 1.49137 7.45685
277000 14.1475 1.14752 5.7376
278000 14.0938 1.09382 5.46911
279000 14.5497 1.54973 7.74864
280000 13.7403 0.740286 3.70143
281000 14.1937 1.19371 5.96856
282000 13.808 0.807972 4.03986
283000 14.033 1.03305 5.16523
284000 14.377 1.377 6.88499
285000 13.7671 0.76709 3.83545
286000 13.7156 0.715611 3.57805
287000 13.871 0.870994 4.35497
288000 13.425 0.425049 2.12525
289000 13.0906 0.0906117 0.453059
290000 13.6206 0.620554 3.10277
291000 12.7022 -0.2978 -1.489
292000 13.1584 0.158404 0.792018
293000 13.5177 0.517726 2.58863
294000 13.9258 0.925805 4.62902
295000 13.2312 0.231208 1.15604
296000 12.9949 -0.00506452 -0.0253226
297000 13.2776 0.277637 1.38818
298000 13.1271 0.127057 0.635286
299000 13.5395 0.539478 2.69739
300000 12.8201 -0.179909 -0.899547
301000 13.3303 0.330257 1.65128
302000 13.105 0.104987 0.524937
303000 13.4224 0.422407 2.11204
304000 13.435 0.435011 2.17506
305000 13.0007 0.000738368 0.00369184
306000 13.4067 0.406712 2.03356
307000 13.2727 0.272658 1.36329
308000 13.2594 0.259431 1.29715
309000 13.6113 0.611259 3.05629
310000 13.7489 0.74886 3.7443
311000 14.185 1.18503 5.92514
312000 14.2653 1.26529 6.32646
313000 14.2791 1.27913 6.39565
314000 13.797 0.797024 3.98512
315000 13.8835 0.883529 4.41764
316000 14.5017 1.50167 7.50833
317000 14.5659 1.56592 7.8296
318000 13.5665 0.566514 2.83257
319000 14.1859 1.18594 5.92972
320000 14.3266 1.32659 6.63297
321000 15.1861 2.18607 10.9303
322000 14.5787 1.57873 7.89366
323000 14.0625 1.06253 5.31263
324000 14.1878 1.18781 5.93907
325000 13.923 0.923049 4.61525
326000 14.337 1.33699 6.68497
