# Histogrammed data for fix 9
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 1.74e+07 0 0.740911 23.9711
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 48 2.75862e-06
5 0.9 16599 0.000953966
6 1.1 46145 0.00265201
7 1.3 56657 0.00325615
8 1.5 69385 0.00398764
9 1.7 87498 0.00502862
10 1.9 115680 0.00664828
11 2.1 152107 0.00874178
12 2.3 203078 0.0116711
13 2.5 284113 0.0163283
14 2.7 241292 0.0138674
15 2.9 210141 0.0120771
16 3.1 231029 0.0132775
17 3.3 249281 0.0143265
18 3.5 248131 0.0142604
19 3.7 230103 0.0132243
20 3.9 236552 0.0135949
21 4.1 243048 0.0139683
22 4.3 241411 0.0138742
23 4.5 238643 0.0137151
24 4.7 238738 0.0137206
25 4.9 240927 0.0138464
26 5.1 240432 0.0138179
27 5.3 239592 0.0137697
28 5.5 239058 0.013739
29 5.7 240217 0.0138056
30 5.9 240040 0.0137954
31 6.1 239733 0.0137778
32 6.3 238772 0.0137225
33 6.5 238227 0.0136912
34 6.7 238743 0.0137209
35 6.9 237157 0.0136297
36 7.1 238279 0.0136942
37 7.3 237455 0.0136468
38 7.5 235991 0.0135627
39 7.7 235605 0.0135405
40 7.9 234851 0.0134972
41 8.1 235117 0.0135125
42 8.3 234239 0.013462
43 8.5 233249 0.0134051
44 8.7 232357 0.0133539
45 8.9 231483 0.0133036
46 9.1 231143 0.0132841
47 9.3 230266 0.0132337
48 9.5 228787 0.0131487
49 9.7 228765 0.0131474
50 9.9 227525 0.0130761
51 10.1 226617 0.013024
52 10.3 224672 0.0129122
53 10.5 224101 0.0128794
54 10.7 222740 0.0128011
55 10.9 222168 0.0127683
56 11.1 219874 0.0126364
57 11.3 219451 0.0126121
58 11.5 218619 0.0125643
59 11.7 217115 0.0124779
60 11.9 214662 0.0123369
61 12.1 212704 0.0122244
62 12.3 211874 0.0121767
63 12.5 209671 0.0120501
64 12.7 207810 0.0119431
65 12.9 205820 0.0118287
66 13.1 203415 0.0116905
67 13.3 201317 0.0115699
68 13.5 199282 0.011453
69 13.7 196258 0.0112792
70 13.9 194064 0.0111531
71 14.1 190777 0.0109642
72 14.3 188689 0.0108442
73 14.5 185233 0.0106456
74 14.7 180622 0.0103806
75 14.9 178101 0.0102357
76 15.1 173582 0.00997598
77 15.3 169259 0.00972753
78 15.5 164679 0.00946431
79 15.7 160786 0.00924057
80 15.9 154737 0.00889293
81 16.1 148053 0.00850879
82 16.3 142210 0.00817299
83 16.5 135968 0.00781425
84 16.7 128376 0.00737793
85 16.9 121335 0.00697328
86 17.1 113877 0.00654466
87 17.3 106637 0.00612856
88 17.5 98437 0.0056573
89 17.7 89981 0.00517132
90 17.9 82075 0.00471695
91 18.1 73777 0.00424006
92 18.3 65616 0.00377103
93 18.5 57909 0.0033281
94 18.7 50230 0.00288678
95 18.9 43023 0.00247259
96 19.1 36544 0.00210023
97 19.3 30306 0.00174172
98 19.5 24939 0.00143328
99 19.7 20436 0.00117448
100 19.9 15992 0.00091908
101 20.1 12824 0.000737011
102 20.3 9657 0.000555
103 20.5 7358 0.000422874
104 20.7 5417 0.000311322
105 20.9 3999 0.000229828
106 21.1 2855 0.00016408
107 21.3 1953 0.000112241
108 21.5 1344 7.72414e-05
109 21.7 871 5.00575e-05
110 21.9 580 3.33333e-05
111 22.1 419 2.40805e-05
112 22.3 248 1.42529e-05
113 22.5 151 8.67816e-06
114 22.7 87 5e-06
115 22.9 55 3.16092e-06
116 23.1 33 1.89655e-06
117 23.3 20 1.14943e-06
118 23.5 8 4.5977e-07
119 23.7 9 5.17241e-07
120 23.9 3 1.72414e-07
121 24.1 0 0
122 24.3 0 0
123 24.5 0 0
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
