# Histogrammed data for fix 10
# TimeStep Number-of-bins Total-counts Missing-counts Min-value Max-value
# Bin Coord Count Count/Total
5000000 200 600000 0 0.81529 24.4138
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 203 0.000338333
6 1.1 359 0.000598333
7 1.3 349 0.000581667
8 1.5 263 0.000438333
9 1.7 224 0.000373333
10 1.9 262 0.000436667
11 2.1 274 0.000456667
12 2.3 341 0.000568333
13 2.5 468 0.00078
14 2.7 509 0.000848333
15 2.9 541 0.000901667
16 3.1 509 0.000848333
17 3.3 533 0.000888333
18 3.5 581 0.000968333
19 3.7 598 0.000996667
20 3.9 613 0.00102167
21 4.1 623 0.00103833
22 4.3 669 0.001115
23 4.5 728 0.00121333
24 4.7 767 0.00127833
25 4.9 791 0.00131833
26 5.1 879 0.001465
27 5.3 880 0.00146667
28 5.5 921 0.001535
29 5.7 1076 0.00179333
30 5.9 1089 0.001815
31 6.1 1232 0.00205333
32 6.3 1355 0.00225833
33 6.5 1489 0.00248167
34 6.7 1583 0.00263833
35 6.9 1716 0.00286
36 7.1 1824 0.00304
37 7.3 1906 0.00317667
38 7.5 2006 0.00334333
39 7.7 2069 0.00344833
40 7.9 2287 0.00381167
41 8.1 2354 0.00392333
42 8.3 2510 0.00418333
43 8.5 2623 0.00437167
44 8.7 2795 0.00465833
45 8.9 2961 0.004935
46 9.1 3232 0.00538667
47 9.3 3317 0.00552833
48 9.5 3438 0.00573
49 9.7 3605 0.00600833
50 9.9 3793 0.00632167
51 10.1 3939 0.006565
52 10.3 4213 0.00702167
53 10.5 4375 0.00729167
54 10.7 4563 0.007605
55 10.9 4699 0.00783167
56 11.1 4893 0.008155
57 11.3 5210 0.00868333
58 11.5 5371 0.00895167
59 11.7 5675 0.00945833
60 11.9 5917 0.00986167
61 12.1 5998 0.00999667
62 12.3 6324 0.01054
63 12.5 6775 0.0112917
64 12.7 6899 0.0114983
65 12.9 7266 0.01211
66 13.1 7614 0.01269
67 13.3 8059 0.0134317
68 13.5 8430 0.01405
69 13.7 8548 0.0142467
70 13.9 9314 0.0155233
71 14.1 9508 0.0158467
72 14.3 9847 0.0164117
73 14.5 10345 0.0172417
74 14.7 10794 0.01799
75 14.9 11244 0.01874
76 15.1 11839 0.0197317
77 15.3 12059 0.0200983
78 15.5 12641 0.0210683
79 15.7 13320 0.0222
80 15.9 13802 0.0230033
81 16.1 14183 0.0236383
82 16.3 14771 0.0246183
83 16.5 14674 0.0244567
84 16.7 15525 0.025875
85 16.9 15772 0.0262867
86 17.1 15934 0.0265567
87 17.3 16304 0.0271733
88 17.5 16183 0.0269717
89 17.7 16254 0.02709
90 17.9 15854 0.0264233
91 18.1 15734 0.0262233
92 18.3 15110 0.0251833
93 18.5 14263 0.0237717
94 18.7 13602 0.02267
95 18.9 12470 0.0207833
96 19.1 11738 0.0195633
97 19.3 10244 0.0170733
98 19.5 9314 0.0155233
99 19.7 7959 0.013265
100 19.9 6824 0.0113733
101 20.1 5727 0.009545
102 20.3 4618 0.00769667
103 20.5 3741 0.006235
104 20.7 2854 0.00475667
105 20.9 2195 0.00365833
106 21.1 1683 0.002805
107 21.3 1240 0.00206667
108 21.5 843 0.001405
109 21.7 632 0.00105333
110 21.9 391 0.000651667
111 22.1 282 0.00047
112 22.3 185 0.000308333
113 22.5 108 0.00018
114 22.7 75 0.000125
115 22.9 41 6.83333e-05
116 23.1 21 3.5e-05
117 23.3 12 2e-05
118 23.5 9 1.5e-05
119 23.7 2 3.33333e-06
120 23.9 2 3.33333e-06
121 24.1 0 0
122 24.3 0 0
123 24.5 1 1.66667e-06
124 24.7 0 0
125 24.9 0 0
126 25.1 0 0
127 25.3 0 0
128 25.5 0 0
129 25.7 0 0
130 25.9 0 0
131 26.1 0 0
132 26.3 0 0
133 26.5 0 0
134 26.7 0 0
135 26.9 0 0
136 27.1 0 0
137 27.3 0 0
138 27.5 0 0
139 27.7 0 0
140 27.9 0 0
141 28.1 0 0
142 28.3 0 0
143 28.5 0 0
144 28.7 0 0
145 28.9 0 0
146 29.1 0 0
147 29.3 0 0
148 29.5 0 0
149 29.7 0 0
150 29.9 0 0
151 30.1 0 0
152 30.3 0 0
153 30.5 0 0
154 30.7 0 0
155 30.9 0 0
156 31.1 0 0
157 31.3 0 0
158 31.5 0 0
159 31.7 0 0
160 31.9 0 0
161 32.1 0 0
162 32.3 0 0
163 32.5 0 0
164 32.7 0 0
165 32.9 0 0
166 33.1 0 0
167 33.3 0 0
168 33.5 0 0
169 33.7 0 0
170 33.9 0 0
171 34.1 0 0
172 34.3 0 0
173 34.5 0 0
174 34.7 0 0
175 34.9 0 0
176 35.1 0 0
177 35.3 0 0
178 35.5 0 0
179 35.7 0 0
180 35.9 0 0
181 36.1 0 0
182 36.3 0 0
183 36.5 0 0
184 36.7 0 0
185 36.9 0 0
186 37.1 0 0
187 37.3 0 0
188 37.5 0 0
189 37.7 0 0
190 37.9 0 0
191 38.1 0 0
192 38.3 0 0
193 38.5 0 0
194 38.7 0 0
195 38.9 0 0
196 39.1 0 0
197 39.3 0 0
198 39.5 0 0
199 39.7 0 0
200 39.9 0 0
