# bin-center(q) S(q)
0.188874 54.598993
0.440958 15.284953
0.693043 7.243670
0.945127 4.510326
1.197212 3.162354
1.449296 2.392718
1.701381 1.869510
1.953465 1.540380
2.205549 1.297784
2.457634 1.122942
2.709718 0.989353
2.961803 0.881314
3.213887 0.794453
3.465972 0.736226
3.718056 0.702418
3.970140 0.675895
4.222225 0.656157
4.474309 0.651385
4.726394 0.657168
4.978478 0.673459
5.230563 0.700607
5.482647 0.738151
5.734731 0.792956
5.986816 0.861238
6.238900 0.929021
6.490985 1.010109
6.743069 1.086030
6.995153 1.152491
7.247238 1.208856
7.499322 1.248032
7.751407 1.256137
8.003491 1.252674
8.255576 1.228123
8.507660 1.183812
8.759744 1.137410
9.011829 1.087332
9.263913 1.042035
9.515998 0.999853
9.768082 0.957210
10.020167 0.921287
10.272251 0.893536
10.524335 0.875075
10.776420 0.864828
11.028504 0.862469
11.280589 0.863239
11.532673 0.874802
11.784758 0.889470
12.036842 0.907758
12.288926 0.931776
12.541011 0.959230
12.793095 0.987644
13.045180 1.015929
13.297264 1.044148
13.549348 1.069266
13.801433 1.088118
14.053517 1.100987
14.305602 1.106604
14.557686 1.105665
14.809771 1.095613
15.061855 1.082139
15.313939 1.065722
15.566024 1.044444
15.818108 1.020688
16.070193 0.999722
16.322277 0.979232
16.574362 0.963264
16.826446 0.949461
17.078530 0.939197
17.330615 0.933920
17.582699 0.931117
17.834784 0.931123
18.086868 0.935603
18.338952 0.942815
18.591037 0.953512
18.843121 0.967334
19.095206 0.981404
19.347290 0.995804
19.599375 1.010521
19.851459 1.023214
20.103543 1.034749
20.355628 1.043492
20.607712 1.050645
20.859797 1.054205
21.111881 1.052637
21.363966 1.048398
21.616050 1.043143
21.868134 1.034465
22.120219 1.023673
22.372303 1.013358
22.624388 1.002650
22.876472 0.991790
23.128557 0.983264
23.380641 0.977196
23.632725 0.972302
23.884810 0.967926
24.136894 0.964642
24.388979 0.963595
24.641063 0.964813
24.893147 0.967604
25.145232 0.974018
25.397316 0.979982
25.649401 0.986556
25.901485 0.992480
26.153570 0.999530
26.405654 1.007037
26.657738 1.012924
26.909823 1.018533
27.161907 1.022755
27.413992 1.026455
27.666076 1.028345
27.918161 1.028042
28.170245 1.025790
28.422329 1.024072
28.674414 1.019417
28.926498 1.015107
29.178583 1.009450
29.430667 1.004100
29.682752 0.998515
29.934836 0.993776
30.186920 0.988776
30.439005 0.985022
30.691089 0.981378
30.943174 0.978755
31.195258 0.978059
31.447342 0.978179
31.699427 0.978618
31.951511 0.979840
32.203596 0.983068
32.455680 0.986884
32.707765 0.990976
32.959849 0.995239
33.211933 0.999721
33.464018 1.004789
33.716102 1.009325
33.968187 1.013716
34.220271 1.017166
34.472356 1.020126
34.724440 1.021360
34.976524 1.022442
35.228609 1.021834
35.480693 1.019860
35.732778 1.016395
35.984862 1.012741
36.236946 1.008386
36.489031 1.003619
36.741115 0.998433
36.993200 0.993351
37.245284 0.989711
37.497369 0.985199
37.749453 0.981465
38.001537 0.978015
38.253622 0.977126
38.505706 0.976718
38.757791 0.978357
39.009875 0.980865
39.261960 0.983879
39.514044 0.987248
39.766128 0.991201
40.018213 0.996651
40.270297 1.002814
40.522382 1.008542
40.774466 1.014124
41.026551 1.019428
41.278635 1.023210
41.530719 1.025240
41.782804 1.026675
42.034888 1.026297
42.286973 1.023843
42.539057 1.019683
42.791141 1.014849
43.043226 1.009106
43.295310 1.002950
43.547395 0.996376
43.799479 0.990236
44.051564 0.984375
44.303648 0.979096
44.555732 0.975592
44.807817 0.973196
45.059901 0.972697
45.311986 0.973257
45.564070 0.975227
45.816155 0.978003
46.068239 0.982693
46.320323 0.988121
46.572408 0.994189
46.824492 1.001602
47.076577 1.008702
47.328661 1.016291
47.580746 1.022496
47.832830 1.026749
48.084914 1.030143
48.336999 1.031915
48.589083 1.030972
48.841168 1.028157
49.093252 1.023348
49.345336 1.017299
49.597421 1.009795
49.849505 1.002243
50.101590 0.994976
50.353674 0.988214
50.605759 0.981835
50.857843 0.976989
51.109927 0.973721
51.362012 0.971332
51.614096 0.969909
51.866181 0.971064
52.118265 0.972517
52.370350 0.975780
52.622434 0.980455
52.874518 0.986841
53.126603 0.994093
53.378687 1.001883
53.630772 1.009252
53.882856 1.016507
54.134940 1.024209
54.387025 1.030340
54.639109 1.035547
54.891194 1.036992
55.143278 1.035840
55.395363 1.032366
55.647447 1.025476
55.899531 1.017172
56.151616 1.008197
56.403700 0.999058
56.655785 0.990426
56.907869 0.984093
57.159954 0.978112
57.412038 0.974564
57.664122 0.972758
57.916207 0.972217
58.168291 0.972686
58.420376 0.974038
58.672460 0.976313
58.924545 0.979394
59.176629 0.982557
59.428713 0.986132
59.680798 0.990784
59.932882 0.996173
60.184967 1.001618
60.437051 1.007137
60.689135 1.013300
60.941220 1.020126
61.193304 1.027382
61.445389 1.036538
61.697473 1.046576
61.949558 1.059129
62.201642 1.078757
62.453726 1.119589
62.705811 1.158994
