# bin-nr bin-center(r) g(r)
0.000000 0.050000 0.000000
1.000000 0.150000 0.000000
2.000000 0.250000 0.000000
3.000000 0.350000 0.000000
4.000000 0.450000 0.000000
5.000000 0.550000 0.000000
6.000000 0.650000 0.000000
7.000000 0.750000 0.000000
8.000000 0.850000 618.697867
9.000000 0.950000 11530.607291
10.000000 1.050000 5271.522494
11.000000 1.150000 1216.971483
12.000000 1.250000 1091.630413
13.000000 1.350000 1086.345486
14.000000 1.450000 1072.087635
15.000000 1.550000 1163.157066
16.000000 1.650000 1273.555860
17.000000 1.750000 1354.940648
18.000000 1.850000 1414.529891
19.000000 1.950000 1126.117793
20.000000 2.050000 870.496725
21.000000 2.150000 797.893570
22.000000 2.250000 761.234901
23.000000 2.350000 718.948935
24.000000 2.450000 695.850634
25.000000 2.550000 673.608470
26.000000 2.650000 653.351432
27.000000 2.750000 633.997389
28.000000 2.850000 567.983286
29.000000 2.950000 547.694677
30.000000 3.050000 509.153991
31.000000 3.150000 471.943472
32.000000 3.250000 476.616020
33.000000 3.350000 453.642624
34.000000 3.450000 435.670390
35.000000 3.550000 409.347376
36.000000 3.650000 383.914380
37.000000 3.750000 375.814511
38.000000 3.850000 347.829312
39.000000 3.950000 338.823790
40.000000 4.050000 338.630264
41.000000 4.150000 315.920734
42.000000 4.250000 307.859472
43.000000 4.350000 290.537428
44.000000 4.450000 276.433247
45.000000 4.550000 273.397671
46.000000 4.650000 265.555000
47.000000 4.750000 255.120390
48.000000 4.850000 249.130026
49.000000 4.950000 236.079336
50.000000 5.050000 232.692361
51.000000 5.150000 218.693801
52.000000 5.250000 217.245414
53.000000 5.350000 210.851805
54.000000 5.450000 206.527540
55.000000 5.550000 196.850311
56.000000 5.650000 187.229108
57.000000 5.750000 182.441675
58.000000 5.850000 175.106705
59.000000 5.950000 169.092326
60.000000 6.050000 164.797284
61.000000 6.150000 162.481367
62.000000 6.250000 156.234505
63.000000 6.350000 146.311402
64.000000 6.450000 147.415606
65.000000 6.550000 141.112369
66.000000 6.650000 139.644086
67.000000 6.750000 135.502623
68.000000 6.850000 127.814076
69.000000 6.950000 127.620518
70.000000 7.050000 125.198860
71.000000 7.150000 117.806778
72.000000 7.250000 114.699315
73.000000 7.350000 110.170258
74.000000 7.450000 106.466005
75.000000 7.550000 105.737721
76.000000 7.650000 102.856814
77.000000 7.750000 99.458776
78.000000 7.850000 96.403971
79.000000 7.950000 93.520289
80.000000 8.050000 89.727957
81.000000 8.150000 86.353407
82.000000 8.250000 84.550526
83.000000 8.350000 81.158876
84.000000 8.450000 80.441064
85.000000 8.550000 76.867528
86.000000 8.650000 77.669877
87.000000 8.750000 76.439850
88.000000 8.850000 72.026220
89.000000 8.950000 67.907690
90.000000 9.050000 67.223339
91.000000 9.150000 64.444521
92.000000 9.250000 62.837672
93.000000 9.350000 62.221745
94.000000 9.450000 60.417791
95.000000 9.550000 59.452856
96.000000 9.650000 56.314932
97.000000 9.750000 55.447484
98.000000 9.850000 53.677716
99.000000 9.950000 52.524615
100.000000 10.050000 51.219335
101.000000 10.150000 48.853769
102.000000 10.250000 48.070165
103.000000 10.350000 47.410549
104.000000 10.450000 45.151109
105.000000 10.550000 43.322351
106.000000 10.650000 41.929104
107.000000 10.750000 41.220841
108.000000 10.850000 40.718842
109.000000 10.950000 39.636823
110.000000 11.050000 38.871044
111.000000 11.150000 37.429115
112.000000 11.250000 34.699868
113.000000 11.350000 34.739420
114.000000 11.450000 32.728995
115.000000 11.550000 32.731703
116.000000 11.650000 31.347868
117.000000 11.750000 31.798125
118.000000 11.850000 30.601634
119.000000 11.950000 29.087461
120.000000 12.050000 28.226857
121.000000 12.150000 27.913574
122.000000 12.250000 26.808652
123.000000 12.350000 25.601403
124.000000 12.450000 24.846140
125.000000 12.550000 24.481779
126.000000 12.650000 24.647694
127.000000 12.750000 22.876425
128.000000 12.850000 23.485614
129.000000 12.950000 21.583310
130.000000 13.050000 21.327824
131.000000 13.150000 21.032019
132.000000 13.250000 20.572144
133.000000 13.350000 20.159003
134.000000 13.450000 18.771521
135.000000 13.550000 18.735787
136.000000 13.650000 17.591175
137.000000 13.750000 17.261222
138.000000 13.850000 17.711122
139.000000 13.950000 16.680755
140.000000 14.050000 16.124849
141.000000 14.150000 15.669507
142.000000 14.250000 15.124432
143.000000 14.350000 14.707762
144.000000 14.450000 13.908704
145.000000 14.550000 13.934035
146.000000 14.650000 13.472801
147.000000 14.750000 12.783735
148.000000 14.850000 12.333462
149.000000 14.950000 11.957506
150.000000 15.050000 12.077412
151.000000 15.150000 11.019121
152.000000 15.250000 11.173215
153.000000 15.350000 10.727162
154.000000 15.450000 10.324690
155.000000 15.550000 9.664461
156.000000 15.650000 9.155319
157.000000 15.750000 9.509507
158.000000 15.850000 8.524290
159.000000 15.950000 8.869905
160.000000 16.050000 8.551739
161.000000 16.150000 8.168250
162.000000 16.250000 7.644336
163.000000 16.350000 7.274063
164.000000 16.450000 6.865615
165.000000 16.550000 6.863441
166.000000 16.650000 6.866508
167.000000 16.750000 6.706133
168.000000 16.850000 6.460270
169.000000 16.950000 6.142938
170.000000 17.050000 5.924735
171.000000 17.150000 5.459382
172.000000 17.250000 5.682233
173.000000 17.350000 5.376121
174.000000 17.450000 5.314680
175.000000 17.550000 5.018944
176.000000 17.650000 4.729550
177.000000 17.750000 4.946491
178.000000 17.850000 4.807147
179.000000 17.950000 4.220652
180.000000 18.050000 4.236891
181.000000 18.150000 4.037261
182.000000 18.250000 4.139806
183.000000 18.350000 3.828061
184.000000 18.450000 4.050541
185.000000 18.550000 3.466616
186.000000 18.650000 3.551862
187.000000 18.750000 3.191355
188.000000 18.850000 3.201933
