ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
1 1 1 89.8118 4.61397 0.845749 
2 1 1 89.395 4.89513 1.73067 
3 1 1 89.0866 5.8887 1.95745 
4 1 1 89.7909 6.12507 2.57311 
5 1 1 90.6783 6.26688 2.91589 
6 1 1 90.8735 5.99381 3.77071 
7 1 1 91.5287 5.70099 3.09533 
8 1 1 92.1029 5.47632 2.19273 
9 1 1 91.5534 5.37772 1.47183 
10 1 1 91.4317 4.46452 1.14026 
11 1 1 92.3055 4.653 0.800055 
12 1 1 93.0364 4.01258 1.07657 
13 1 1 93.7536 4.27166 1.70699 
14 1 1 93.6076 3.31121 1.76482 
15 1 1 92.7483 2.99535 1.63835 
16 1 1 92.4665 3.42834 2.35498 
17 1 1 92.3952 3.05301 3.21724 
18 1 1 92.4437 2.22379 3.68373 
19 1 1 91.8945 2.06032 3.01253 
20 1 1 91.6867 1.35879 3.61428 
21 1 1 90.8219 1.67945 3.80391 
22 1 1 90.6966 2.69908 3.59705 
23 1 1 91.4138 2.53551 4.27922 
24 1 1 91.0594 2.23263 5.13222 
25 1 1 92.0265 2.0896 5.47295 
26 1 1 92.7685 1.64736 5.81462 
27 1 1 92.5534 0.651618 5.68218 
28 1 1 93.4557 0.592322 5.27541 
29 1 1 94.0504 1.20549 4.7856 
30 1 1 94.7785 0.655568 4.79827 
31 1 1 95.5804 0.104069 4.73206 
32 1 1 96.4668 0.400019 5.01511 
33 1 1 96.4414 0.431045 5.96047 
34 1 1 95.865 1.22141 5.93431 
35 1 1 95.9388 1.56639 6.95885 
36 1 1 95.2198 0.911391 7.16308 
37 1 1 95.1019 1.60832 7.75203 
38 1 1 95.3923 1.63338 8.64222 
39 1 1 95.1875 2.50735 8.28586 
40 1 1 94.2203 2.54419 8.23096 
41 1 1 94.3631 3.6542 8.108 
42 1 1 94.1199 4.55768 7.89766 
43 1 1 93.1611 4.31411 7.70623 
44 1 1 93.3399 4.12789 8.66918 
45 1 1 92.8755 4.93924 8.62385 
46 1 1 92.417 5.0665 9.42808 
47 1 1 91.7936 5.56623 9.94025 
48 1 1 91.8738 5.65155 10.9277 
49 1 1 91.59 6.3147 11.5556 
50 1 1 90.8427 6.87147 11.8072 
51 1 1 90.9348 7.14555 10.8715 
52 1 1 90.0093 6.90132 10.6811 
53 1 1 89.9206 7.10957 9.72016 
54 1 1 89.7566 7.63292 8.78474 
55 1 1 89.8838 8.58608 8.6107 
56 1 1 90.5514 8.5242 7.90327 
57 1 1 90.3146 9.10498 7.16548 
58 1 1 90.0323 8.3478 6.5282 
59 1 1 90.6168 8.37832 5.74354 
60 1 1 90.4105 9.32387 5.35978 
61 1 1 90.3876 9.56759 4.4883 
62 1 1 90.8569 10.2031 4.08682 
63 1 1 91.15 9.56593 3.40811 
64 1 1 91.793 10.0249 2.72921 
65 1 1 91.3454 9.72586 1.89741 
66 1 1 92.0091 10.5104 1.8145 
67 1 1 92.9227 10.4897 1.84999 
68 1 1 92.5323 11.0273 2.58011 
69 1 1 92.1713 11.643 1.98142 
70 1 1 93.0154 11.6221 1.51041 
71 1 1 93.2825 11.7118 0.564668 
72 1 1 93.6802 12.5431 0.517 
73 1 1 93.5374 12.6315 99.5369 
74 1 1 94.3206 13.2226 99.4477 
75 1 1 93.6884 13.5676 98.8649 
76 1 1 93.9341 13.2943 97.9966 
77 1 1 93.804 13.6365 97.1058 
78 1 1 94.1502 12.8189 96.6216 
79 1 1 94.9181 12.9048 96.0616 
80 1 1 94.1105 13.0172 95.5323 
81 1 1 94.7669 13.4953 95.0713 
82 1 1 94.5642 14.3163 95.3489 
83 1 1 94.5909 15.2557 95.4698 
84 1 1 94.4348 16.1367 95.1258 
85 1 1 93.5566 15.9391 95.7051 
86 1 1 92.5458 16.2816 95.8791 
87 1 1 91.9381 15.5002 95.9472 
88 1 1 91.2212 15.764 95.3312 
89 1 1 90.7926 14.8457 95.6283 
90 1 1 90.4088 14.9353 96.6146 
91 1 1 90.4143 14.2191 97.1599 
92 1 1 90.3128 14.361 98.1598 
93 1 1 89.7808 14.902 97.5828 
94 1 1 88.8261 14.7327 97.9191 
95 1 1 87.9311 14.4394 97.9259 
96 1 1 87.9383 13.5111 97.681 
97 1 1 87.3452 13.1068 98.4211 
98 1 1 87.1114 13.9929 98.7167 
99 1 1 86.9662 14.9477 98.488 
100 1 1 86.7482 14.3491 97.8161 
ITEM: TIMESTEP
10000
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
1 1 1 94.3195 4.61429 96.7459 
2 1 1 94.2518 3.69097 96.6303 
3 1 1 94.4541 3.36955 97.6747 
4 1 1 94.127 3.71582 98.4338 
5 1 1 94.4606 2.78684 98.8112 
6 1 1 94.1784 2.22556 99.5034 
7 1 1 95.1668 2.30065 99.4401 
8 1 1 95.3222 1.93319 0.288314 
9 1 1 96.1436 1.82603 99.8035 
10 1 1 95.8518 0.932272 0.0180742 
11 1 1 95.9779 0.778555 99.109 
12 1 1 96.5192 1.45776 98.675 
13 1 1 97.3302 1.42621 99.2478 
14 1 1 97.045 1.1037 0.0907451 
15 1 1 97.4317 0.707321 0.890267 
16 1 1 96.6418 0.97641 1.57093 
17 1 1 95.7945 0.461251 1.60923 
18 1 1 95.4916 0.741729 2.46987 
19 1 1 95.2793 1.43422 3.17052 
20 1 1 94.3239 1.5255 3.11778 
21 1 1 94.4571 0.795422 3.72613 
22 1 1 93.9484 1.18962 4.44396 
23 1 1 94.6205 0.996185 5.15666 
24 1 1 94.1908 0.117924 5.19064 
25 1 1 94.5057 0.413859 6.19492 
26 1 1 95.3242 99.8287 6.01843 
27 1 1 95.902 0.546173 6.26014 
28 1 1 96.7013 0.467255 6.76687 
29 1 1 96.4686 1.34746 6.42663 
30 1 1 96.3435 2.32545 6.69276 
31 1 1 96.2427 3.29012 7.14118 
32 1 1 95.415 2.869 7.25456 
33 1 1 94.9476 2.91664 8.14626 
34 1 1 94.5534 2.2932 7.45084 
35 1 1 93.541 2.28685 7.62203 
36 1 1 92.959 1.57207 7.43843 
37 1 1 92.3949 2.30373 7.7043 
38 1 1 91.5742 1.91604 7.93482 
39 1 1 92.3182 1.45992 8.37406 
40 1 1 92.0876 1.50968 9.29443 
41 1 1 92.0427 2.47388 9.16706 
42 1 1 92.3647 3.29886 9.80838 
43 1 1 91.4676 3.66007 9.77439 
44 1 1 91.4972 3.95048 8.77974 
45 1 1 91.9693 4.76456 9.09597 
46 1 1 92.2483 5.41293 8.37496 
47 1 1 92.4311 6.29425 7.91196 
48 1 1 93.4616 6.3478 8.28346 
49 1 1 93.7228 7.35831 8.45896 
50 1 1 93.6259 7.33668 7.42754 
51 1 1 94.3924 7.57711 6.9722 
52 1 1 94.4293 8.00233 6.0752 
53 1 1 94.2205 8.62796 6.75502 
54 1 1 94.64 9.28065 6.21527 
55 1 1 94.4579 9.54452 5.32479 
56 1 1 95.0139 9.36279 4.535 
57 1 1 95.5672 10.0814 4.21096 
58 1 1 95.8119 10.6677 4.94041 
59 1 1 95.3113 11.2055 4.39043 
60 1 1 95.3122 11.4245 3.46383 
61 1 1 95.5314 12.3376 2.84885 
62 1 1 94.933 11.9135 2.19981 
63 1 1 95.0247 10.9668 1.94956 
