# Time-averaged data for fix rg
# TimeStep c_rg
0 2.99706
1000 2.97751
2000 3.00397
3000 2.99466
4000 3.00489
5000 2.97945
6000 2.87872
7000 2.91274
8000 2.90219
9000 2.9191
10000 2.87769
11000 2.89595
12000 2.75467
13000 2.72813
14000 2.80693
15000 2.89988
16000 2.98364
17000 3.09814
18000 3.12134
19000 3.06645
20000 3.22677
21000 3.10005
22000 3.10922
23000 3.14973
24000 3.05422
25000 3.10729
26000 3.13223
27000 3.0978
28000 3.22315
29000 3.29297
30000 3.23808
31000 3.27134
32000 3.15267
33000 3.09548
34000 3.01424
35000 2.9082
36000 2.90272
37000 2.8667
38000 2.94927
39000 2.85664
40000 2.85351
41000 2.79421
42000 2.73538
43000 2.72147
44000 2.8025
45000 2.73806
46000 2.67
47000 2.58616
48000 2.62118
49000 2.74385
50000 2.64119
51000 2.62332
52000 2.60329
53000 2.59002
54000 2.42959
55000 2.52612
56000 2.51958
57000 2.47763
58000 2.47526
59000 2.4948
60000 2.61853
61000 2.63781
62000 2.62011
63000 2.53541
64000 2.45246
65000 2.53362
66000 2.579
67000 2.57805
68000 2.59003
69000 2.54001
70000 2.62776
71000 2.6475
72000 2.63296
73000 2.75862
74000 2.76211
75000 2.7364
76000 2.79428
77000 2.71709
78000 2.54673
79000 2.48665
80000 2.54763
81000 2.54936
82000 2.56436
83000 2.4422
84000 2.47198
85000 2.52103
86000 2.53323
87000 2.62232
88000 2.60891
89000 2.54645
90000 2.44178
91000 2.46888
92000 2.49215
93000 2.34589
94000 2.34536
95000 2.40695
96000 2.48469
97000 2.41895
98000 2.3088
99000 2.23425
100000 2.3845
101000 2.45468
102000 2.49898
103000 2.54973
104000 2.49189
105000 2.47946
106000 2.49852
107000 2.41838
108000 2.44593
109000 2.43173
110000 2.3442
111000 2.35098
112000 2.38691
113000 2.37447
114000 2.37139
115000 2.41062
116000 2.36403
117000 2.31165
118000 2.40536
119000 2.36091
120000 2.25904
121000 2.27685
122000 2.24602
123000 2.22646
124000 2.19083
125000 2.20639
126000 2.23227
127000 2.2782
128000 2.32451
129000 2.28421
130000 2.27926
131000 2.22244
132000 2.30083
133000 2.33471
134000 2.36218
135000 2.30966
136000 2.22021
137000 2.26809
138000 2.21277
139000 2.25173
140000 2.26027
141000 2.20617
142000 2.25745
143000 2.2946
144000 2.25074
145000 2.22694
146000 2.15603
147000 2.12598
148000 2.16336
149000 2.2093
150000 2.17274
151000 2.23802
152000 2.23008
153000 2.14772
154000 2.25524
155000 2.22566
156000 2.29773
157000 2.3928
158000 2.27866
159000 2.21356
160000 2.27889
161000 2.32892
162000 2.29488
163000 2.28887
164000 2.28146
165000 2.3823
166000 2.35376
167000 2.30847
168000 2.33282
169000 2.28398
170000 2.23474
171000 2.31763
172000 2.31359
173000 2.25622
174000 2.24641
175000 2.29866
176000 2.327
177000 2.43325
178000 2.45444
179000 2.3565
180000 2.41456
181000 2.40767
182000 2.48734
183000 2.47458
184000 2.55715
185000 2.56736
186000 2.54816
187000 2.50055
188000 2.49075
189000 2.40955
190000 2.4305
191000 2.47414
192000 2.5105
193000 2.46106
194000 2.34264
195000 2.28671
196000 2.19329
197000 2.17474
198000 2.17618
199000 2.22601
200000 2.19794
